clusterName,NSForest_markers,f_score
dM-FIB,"['ENSG00000085662', 'ENSG00000049323', 'ENSG00000167580']",0.3501827040194884
CNT,"['ENSG00000104327', 'ENSG00000134240', 'ENSG00000165685']",0.5503620199798369
IC-B,"['ENSG00000091137', 'ENSG00000027644']",0.7327376116978067
PT,"['ENSG00000171766', 'ENSG00000243955']",0.90190465999679
dC-IC-A,"['ENSG00000130208', 'ENSG00000013306', 'ENSG00000259120']",0.4986376021798365
CCD-IC-A,"['ENSG00000259120', 'ENSG00000004939', 'ENSG00000147606']",0.5902030144570901
Non-classical monocytes,"['ENSG00000203747', 'ENSG00000085265']",0.8049414824447334
Classical monocytes,"['ENSG00000143546', 'ENSG00000038427', 'ENSG00000163220']",0.7771428571428571
DC,"['ENSG00000173372', 'ENSG00000159189']",0.7146661931818182
DC2,"['ENSG00000132514', 'ENSG00000188820']",0.438821268417681
B cells,"['ENSG00000105369', 'ENSG00000156738']",0.8673044925124792
T cells,['ENSG00000167286'],0.8509976140253812
NK cells,"['ENSG00000105374', 'ENSG00000150045']",0.8125171561899533
dVSMC,"['ENSG00000198523', 'ENSG00000198467']",0.8006984285357944
VSMC/P,"['ENSG00000074181', 'ENSG00000109472']",0.533066132264529
EC-LYM,['ENSG00000138722'],0.6968810916179338
EC-PTC,"['ENSG00000130300', 'ENSG00000122679']",0.6607629427792916
EC-GC,"['ENSG00000167941', 'ENSG00000013016']",0.7611909860303865
EC-AEA,"['ENSG00000164530', 'ENSG00000131389']",0.5564232721593128
EC-DVR,"['ENSG00000141469', 'ENSG00000099260']",0.5796783625730995
EC-AVR,"['ENSG00000150625', 'ENSG00000153993']",0.7016944520360754
T/NK,"['ENSG00000185811', 'ENSG00000075884']",0.6396981396981397
IC-A,"['ENSG00000185274', 'ENSG00000154678']",0.8521153532830066
IMCD,"['ENSG00000267134', 'ENSG00000132874']",0.9009386858398244
DTL,"['ENSG00000007062', 'ENSG00000109472']",0.5070364238410596
dATL,"['ENSG00000198691', 'ENSG00000117707']",0.5818637056390159
aTAL,"['ENSG00000137648', 'ENSG00000074803', 'ENSG00000036828']",0.5721875957903341
M-TAL,"['ENSG00000076864', 'ENSG00000186510', 'ENSG00000074803']",0.5177546705785908
C-TAL,"['ENSG00000113946', 'ENSG00000169344', 'ENSG00000074803']",0.7134425395902949
DCT,['ENSG00000070915'],0.8755233329929542
PC,"['ENSG00000165272', 'ENSG00000150201']",0.6495972758823915
aPT,"['ENSG00000113361', 'ENSG00000183747', 'ENSG00000131016']",0.5400966782350025
PT-S1/2,"['ENSG00000248373', 'ENSG00000250799']",0.5958678510829424
dPT,"['ENSG00000150275', 'ENSG00000100024', 'ENSG00000099139']",0.5697200074170221
PT-S3,"['ENSG00000249252', 'ENSG00000185046']",0.4173397953688745
Podocytes,"['ENSG00000116218', 'ENSG00000112782']",0.9166666666666666
PEC,"['ENSG00000128918', 'ENSG00000229981']",0.688550840672538
VSMC,"['ENSG00000169282', 'ENSG00000182732']",0.6504599211563732
FIB/aFIB,"['ENSG00000172260', 'ENSG00000112936']",0.6317110584297866
M-FIB,"['ENSG00000079931', 'ENSG00000067715']",0.785973752050621
Myeloid,"['ENSG00000059377', 'ENSG00000260314']",0.6442809682012339
