software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,dM-FIB,698,0.3501827040194884,0.4872881355932203,0.164756446991404,193685,121,583,115,3,"['ENSG00000085662', 'ENSG00000049323', 'ENSG00000167580']","['ENSG00000124107', 'ENSG00000085662', 'ENSG00000049323', 'ENSG00000167580', 'ENSG00000171345', 'ENSG00000109846', 'ENSG00000134532', 'ENSG00000120885', 'ENSG00000163191', 'ENSG00000084207']",0.29775193
4.1,Curated_annotation,CNT,8110,0.5503620199798369,0.7007001166861143,0.2961775585696671,185368,1026,5708,2402,3,"['ENSG00000104327', 'ENSG00000134240', 'ENSG00000165685']","['ENSG00000104327', 'ENSG00000134240', 'ENSG00000226674', 'ENSG00000121064', 'ENSG00000165685', 'ENSG00000183023', 'ENSG00000139144', 'ENSG00000140519', 'ENSG00000176387', 'ENSG00000060237']",1.0
4.1,Curated_annotation,IC-B,2395,0.7327376116978067,0.9595744680851064,0.3766179540709812,192071,38,1493,902,2,"['ENSG00000091137', 'ENSG00000027644']","['ENSG00000091137', 'ENSG00000027644', 'ENSG00000127324', 'ENSG00000157680', 'ENSG00000113073', 'ENSG00000135480', 'ENSG00000188175', 'ENSG00000249601', 'ENSG00000101443', 'ENSG00000197943']",1.0
4.1,Curated_annotation,PT,19500,0.90190465999679,0.9761146496815286,0.6915897435897436,174674,330,6014,13486,2,"['ENSG00000171766', 'ENSG00000243955']","['ENSG00000171766', 'ENSG00000243955', 'ENSG00000163586', 'ENSG00000158104', 'ENSG00000244067', 'ENSG00000182919', 'ENSG00000125144', 'ENSG00000162366', 'ENSG00000136872', 'ENSG00000163541']",1.0
4.1,Curated_annotation,dC-IC-A,1784,0.4986376021798365,0.5269978401727862,0.4103139013452915,192063,657,1052,732,3,"['ENSG00000130208', 'ENSG00000013306', 'ENSG00000259120']","['ENSG00000164266', 'ENSG00000130208', 'ENSG00000152931', 'ENSG00000013306', 'ENSG00000259120', 'ENSG00000213185', 'ENSG00000004939', 'ENSG00000173253', 'ENSG00000131981', 'ENSG00000140519']",0.5590949058532715
4.1,Curated_annotation,CCD-IC-A,3332,0.5902030144570901,0.6348221670802316,0.4606842737094838,190289,883,1797,1535,3,"['ENSG00000259120', 'ENSG00000004939', 'ENSG00000147606']","['ENSG00000213185', 'ENSG00000130208', 'ENSG00000259120', 'ENSG00000004939', 'ENSG00000147606', 'ENSG00000173253', 'ENSG00000140519', 'ENSG00000249601', 'ENSG00000235162', 'ENSG00000143882']",0.4069460332393646
4.1,Curated_annotation,Non-classical monocytes,1093,0.8049414824447334,0.8997093023255814,0.5663311985361391,193342,69,474,619,2,"['ENSG00000203747', 'ENSG00000085265']","['ENSG00000224397', 'ENSG00000140379', 'ENSG00000166927', 'ENSG00000203747', 'ENSG00000126759', 'ENSG00000085265', 'ENSG00000163220', 'ENSG00000216490', 'ENSG00000163131', 'ENSG00000103187']",0.50881028175354
4.1,Curated_annotation,Classical monocytes,534,0.7771428571428571,0.8947368421052632,0.5093632958801498,193938,32,262,272,3,"['ENSG00000143546', 'ENSG00000038427', 'ENSG00000163220']","['ENSG00000163221', 'ENSG00000166523', 'ENSG00000143546', 'ENSG00000170458', 'ENSG00000038427', 'ENSG00000163220', 'ENSG00000121552', 'ENSG00000085265', 'ENSG00000135218', 'ENSG00000126759']",0.6784304976463318
4.1,Curated_annotation,DC,1828,0.7146661931818182,0.8464773922187171,0.4403719912472648,192530,146,1023,805,2,"['ENSG00000173372', 'ENSG00000159189']","['ENSG00000173372', 'ENSG00000159189', 'ENSG00000173369', 'ENSG00000132965', 'ENSG00000090104', 'ENSG00000166927', 'ENSG00000169413', 'ENSG00000110077', 'ENSG00000118515', 'ENSG00000090382']",1.0
4.1,Curated_annotation,DC2,393,0.438821268417681,0.4691780821917808,0.3486005089058524,193956,155,256,137,2,"['ENSG00000132514', 'ENSG00000188820']","['ENSG00000132514', 'ENSG00000188820', 'ENSG00000160593', 'ENSG00000217555', 'ENSG00000169413', 'ENSG00000110077', 'ENSG00000163563', 'ENSG00000090382', 'ENSG00000011600', 'ENSG00000101439']",1.0
4.1,Curated_annotation,B cells,1392,0.8673044925124792,0.9765807962529274,0.5991379310344828,193092,20,558,834,2,"['ENSG00000105369', 'ENSG00000156738']","['ENSG00000105369', 'ENSG00000156738', 'ENSG00000211592', 'ENSG00000007312', 'ENSG00000153064', 'ENSG00000140968', 'ENSG00000169442', 'ENSG00000104894', 'ENSG00000142541', 'ENSG00000019582']",1.0
4.1,Curated_annotation,T cells,6663,0.8509976140253812,0.8846153846153846,0.7387062884586523,187199,642,1741,4922,1,['ENSG00000167286'],"['ENSG00000167286', 'ENSG00000277734', 'ENSG00000198851', 'ENSG00000168685', 'ENSG00000116824', 'ENSG00000008517', 'ENSG00000110848', 'ENSG00000169442', 'ENSG00000126264', 'ENSG00000121966']",1.0
4.1,Curated_annotation,NK cells,2014,0.8125171561899533,0.8983308042488619,0.5878848063555114,192356,134,830,1184,2,"['ENSG00000105374', 'ENSG00000150045']","['ENSG00000105374', 'ENSG00000115523', 'ENSG00000150045', 'ENSG00000100453', 'ENSG00000180644', 'ENSG00000134539', 'ENSG00000111796', 'ENSG00000137441', 'ENSG00000169583', 'ENSG00000077984']",1.0
4.1,Curated_annotation,dVSMC,1273,0.8006984285357944,0.9385964912280702,0.5043205027494109,193189,42,631,642,2,"['ENSG00000198523', 'ENSG00000198467']","['ENSG00000198523', 'ENSG00000198467', 'ENSG00000187479', 'ENSG00000111404', 'ENSG00000175183', 'ENSG00000130176', 'ENSG00000109610', 'ENSG00000159176', 'ENSG00000107796', 'ENSG00000149591']",1.0
4.1,Curated_annotation,VSMC/P,3361,0.533066132264529,0.7740058195926285,0.2374293365069919,190910,233,2563,798,2,"['ENSG00000074181', 'ENSG00000109472']","['ENSG00000113721', 'ENSG00000074181', 'ENSG00000149591', 'ENSG00000182492', 'ENSG00000101335', 'ENSG00000109472', 'ENSG00000148671', 'ENSG00000184347', 'ENSG00000111341', 'ENSG00000164330']",0.3853434026241302
4.1,Curated_annotation,EC-LYM,246,0.6968810916179338,0.7333333333333333,0.5813008130081301,194206,52,103,143,1,['ENSG00000138722'],"['ENSG00000138722', 'ENSG00000137077', 'ENSG00000184058', 'ENSG00000160180', 'ENSG00000075213', 'ENSG00000205038', 'ENSG00000175745', 'ENSG00000118257', 'ENSG00000154330', 'ENSG00000184203']",1.0
4.1,Curated_annotation,EC-PTC,8242,0.6607629427792916,0.7423469387755102,0.4589905362776025,184949,1313,4459,3783,2,"['ENSG00000130300', 'ENSG00000122679']","['ENSG00000163687', 'ENSG00000130300', 'ENSG00000168497', 'ENSG00000122679', 'ENSG00000174640', 'ENSG00000104368', 'ENSG00000129538', 'ENSG00000102755', 'ENSG00000106991', 'ENSG00000164035']",0.4396707415580749
4.1,Curated_annotation,EC-GC,3631,0.7611909860303865,0.9669689119170984,0.411181492701735,190822,51,2138,1493,2,"['ENSG00000167941', 'ENSG00000013016']","['ENSG00000167941', 'ENSG00000013016', 'ENSG00000145708', 'ENSG00000138411', 'ENSG00000165810', 'ENSG00000162407', 'ENSG00000104368', 'ENSG00000164035', 'ENSG00000077943', 'ENSG00000163513']",1.0
4.1,Curated_annotation,EC-AEA,1121,0.5564232721593128,0.7916666666666666,0.2542372881355932,193308,75,836,285,2,"['ENSG00000164530', 'ENSG00000131389']","['ENSG00000164530', 'ENSG00000090006', 'ENSG00000131389', 'ENSG00000135919', 'ENSG00000154175', 'ENSG00000151468', 'ENSG00000049192', 'ENSG00000240583', 'ENSG00000184113', 'ENSG00000065054']",1.0
