clusterName,NSForest_markers,f_score,onTarget,precision,recall
Neutrophils,['ENSG00000162747'],0.9171989406449604,1.0,0.9577063847092314,0.784477015323118
NK cells,"['ENSG00000161405', 'ENSG00000173212', 'ENSG00000185885']",0.3698979591836734,1.0,0.5427807486631016,0.1626602564102564
Macrophages,['ENSG00000248905'],0.6015143017386427,1.0,0.7161936560934892,0.3666666666666666
Central venous LSECs,"['ENSG00000136011', 'ENSG00000145708']",0.8396902616655632,1.0,0.972657552517506,0.5428491672094538
Stellate cells,"['ENSG00000249669', 'ENSG00000235904']",0.7220108151411977,1.0,0.9626168224299064,0.3610415623435152
Fibroblasts,"['ENSG00000185053', 'ENSG00000148655']",0.7054176072234764,1.0,0.8710801393728222,0.4006410256410256
Cholangiocytes,"['ENSG00000122870', 'ENSG00000146038']",0.8285737269728903,1.0,0.9363636363636364,0.5673368218121729
Pericentral hepatocytes,"['ENSG00000160868', 'ENSG00000007933', 'ENSG00000108924', 'ENSG00000198099']",0.7006015826873385,0.6745424866676331,0.7705800721620871,0.5139197393750925
Interzonal hepatocytes,"['ENSG00000084110', 'ENSG00000099937', 'ENSG00000113905', 'ENSG00000132693', 'ENSG00000145192']",0.4568498452012384,1.0,0.6038363171355499,0.2314705882352941
Periportal hepatocytes,"['ENSG00000229314', 'ENSG00000166741']",0.5341186538800372,0.3088424801826477,0.5980553337404293,0.3741294701889454
Portal endothelial cells,"['ENSG00000146374', 'ENSG00000241644']",0.6238532110091743,1.0,0.918918918918919,0.2730923694779116
Periportal LSECs,"['ENSG00000111341', 'ENSG00000176435']",0.7107438016528925,1.0,0.9188034188034188,0.3729401561144839
Immune mix,['ENSG00000229314'],0.1109120754976063,0.3198759257793426,0.0915059605036174,0.7311252828636083
Non-inflammatory macrophages,"['ENSG00000073754', 'ENSG00000019169']",0.8868787020345094,1.0,0.9536171685704397,0.692907444668008
Non-classical monocytes,"['ENSG00000085265', 'ENSG00000203747']",0.7340713407134072,0.3985932469367981,0.8102090686939994,0.5335240479170391
Classical monocytes,"['ENSG00000038427', 'ENSG00000163221']",0.8228164912174256,1.0,0.9061221080765056,0.6015858933126317
Inflammatory macrophages,"['ENSG00000143226', 'ENSG00000173369']",0.5715341503972409,0.710218071937561,0.6174318030605456,0.4405411820555424
DC2,"['ENSG00000158481', 'ENSG00000149269', 'ENSG00000111371', 'ENSG00000180817']",0.3462761126248864,0.4147749543190002,0.3940568475452196,0.2331804281345565
DC1,"['ENSG00000197992', 'ENSG00000128815']",0.8848566308243727,1.0,0.9729064039408868,0.649671052631579
Migratory DCs,"['ENSG00000172724', 'ENSG00000075618']",0.6382978723404256,1.0,0.9230769230769232,0.2857142857142857
Plasma cells,"['ENSG00000048462', 'ENSG00000110777']",0.7877625875291764,1.0,0.944055944055944,0.4739217652958876
pDC,"['ENSG00000166428', 'ENSG00000166963']",0.8019003743161531,1.0,0.9858407079646018,0.45919208573784
B cells,"['ENSG00000153064', 'ENSG00000105369']",0.7878052070686632,0.838847815990448,0.953469387755102,0.4647831277357739
CD4 T cells,"['ENSG00000111678', 'ENSG00000168685', 'ENSG00000111716']",0.2908187790418202,0.2704400718212127,0.3391466832762379,0.1852355842830413
MAIT cells,"['ENSG00000107742', 'ENSG00000185697', 'ENSG00000113088']",0.496271342995694,1.0,0.6069440983470388,0.2869654007775988
Tem/Trm cytotoxic T cells,"['ENSG00000113088', 'ENSG00000100450', 'ENSG00000167286']",0.649289526241692,0.2701749205589294,0.7635112373068964,0.4062115936091766
Tem/Temra cytotoxic T cells,"['ENSG00000137441', 'ENSG00000100450', 'ENSG00000167286']",0.7018989521326314,0.4310886561870575,0.8155187196341812,0.4507186858316221
CD16+ NK cells,"['ENSG00000137441', 'ENSG00000100453', 'ENSG00000150045']",0.7694664457708281,0.3430818617343902,0.841523951352693,0.57315527005325
CD16- NK cells,"['ENSG00000117281', 'ENSG00000187118']",0.6858311800172265,0.7372964024543762,0.848686714883898,0.3880090497737556
