software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,Neutrophils,3002,0.9171989406449604,0.9577063847092314,0.784477015323118,256572,104,647,2355,1,['ENSG00000162747'],"['ENSG00000162747', 'ENSG00000140932', 'ENSG00000073756', 'ENSG00000180871', 'ENSG00000119535', 'ENSG00000059728', 'ENSG00000123689', 'ENSG00000111913', 'ENSG00000171051', 'ENSG00000140350']",1.0
4.1,Curated_annotation,NK cells,1248,0.3698979591836734,0.5427807486631016,0.1626602564102564,258259,171,1045,203,3,"['ENSG00000161405', 'ENSG00000173212', 'ENSG00000185885']","['ENSG00000161405', 'ENSG00000151883', 'ENSG00000173212', 'ENSG00000005844', 'ENSG00000185885', 'ENSG00000100385', 'ENSG00000074966', 'ENSG00000150045', 'ENSG00000198821', 'ENSG00000134539']",1.0
4.1,Curated_annotation,Macrophages,3510,0.6015143017386427,0.7161936560934892,0.3666666666666666,255658,510,2223,1287,1,['ENSG00000248905'],"['ENSG00000248905', 'ENSG00000079215', 'ENSG00000153208', 'ENSG00000082397', 'ENSG00000157827', 'ENSG00000104447', 'ENSG00000156113', 'ENSG00000038945', 'ENSG00000059377', 'ENSG00000115355']",1.0
4.1,Curated_annotation,Central venous LSECs,10747,0.8396902616655632,0.972657552517506,0.5428491672094538,248767,164,4913,5834,2,"['ENSG00000136011', 'ENSG00000145708']","['ENSG00000136011', 'ENSG00000145708', 'ENSG00000138315', 'ENSG00000010327', 'ENSG00000160339', 'ENSG00000165810', 'ENSG00000046889', 'ENSG00000182566', 'ENSG00000184005', 'ENSG00000110841']",1.0
4.1,Curated_annotation,Stellate cells,1997,0.7220108151411977,0.9626168224299064,0.3610415623435152,257653,28,1276,721,2,"['ENSG00000249669', 'ENSG00000235904']","['ENSG00000249669', 'ENSG00000178031', 'ENSG00000235904', 'ENSG00000237187', 'ENSG00000134343', 'ENSG00000117114', 'ENSG00000019991', 'ENSG00000197859', 'ENSG00000196569', 'ENSG00000160801']",1.0
4.1,Curated_annotation,Fibroblasts,1248,0.7054176072234764,0.8710801393728222,0.4006410256410256,258356,74,748,500,2,"['ENSG00000185053', 'ENSG00000148655']","['ENSG00000042062', 'ENSG00000185053', 'ENSG00000183722', 'ENSG00000148655', 'ENSG00000185345', 'ENSG00000138758', 'ENSG00000112902', 'ENSG00000162669', 'ENSG00000133424', 'ENSG00000184226']",1.0
4.1,Curated_annotation,Cholangiocytes,3631,0.8285737269728903,0.9363636363636364,0.5673368218121729,255907,140,1571,2060,2,"['ENSG00000122870', 'ENSG00000146038']","['ENSG00000122870', 'ENSG00000146038', 'ENSG00000100170', 'ENSG00000140835', 'ENSG00000153822', 'ENSG00000170927', 'ENSG00000135480', 'ENSG00000169862', 'ENSG00000105855', 'ENSG00000165238']",1.0
4.1,Curated_annotation,Pericentral hepatocytes,27012,0.7006015826873385,0.7705800721620871,0.5139197393750925,228533,4133,13130,13882,4,"['ENSG00000160868', 'ENSG00000007933', 'ENSG00000108924', 'ENSG00000198099']","['ENSG00000160868', 'ENSG00000007933', 'ENSG00000108924', 'ENSG00000023839', 'ENSG00000149124', 'ENSG00000198099', 'ENSG00000132840', 'ENSG00000101323', 'ENSG00000138356', 'ENSG00000105398']",0.6745424866676331
4.1,Curated_annotation,Interzonal hepatocytes,10200,0.4568498452012384,0.6038363171355499,0.2314705882352941,247929,1549,7839,2361,5,"['ENSG00000084110', 'ENSG00000099937', 'ENSG00000113905', 'ENSG00000132693', 'ENSG00000145192']","['ENSG00000084110', 'ENSG00000228716', 'ENSG00000099937', 'ENSG00000113905', 'ENSG00000132693', 'ENSG00000145192', 'ENSG00000161944', 'ENSG00000146678', 'ENSG00000160868', 'ENSG00000136872']",1.0
4.1,Curated_annotation,Periportal hepatocytes,34031,0.5341186538800372,0.5980553337404293,0.3741294701889454,217090,8557,21299,12732,2,"['ENSG00000229314', 'ENSG00000166741']","['ENSG00000172482', 'ENSG00000229314', 'ENSG00000166741', 'ENSG00000136872', 'ENSG00000104760', 'ENSG00000106258', 'ENSG00000130208', 'ENSG00000125730', 'ENSG00000171564', 'ENSG00000171557']",0.3088424801826477
4.1,Curated_annotation,Portal endothelial cells,747,0.6238532110091743,0.918918918918919,0.2730923694779116,258913,18,543,204,2,"['ENSG00000146374', 'ENSG00000241644']","['ENSG00000174175', 'ENSG00000146374', 'ENSG00000241644', 'ENSG00000124212', 'ENSG00000175745', 'ENSG00000122679', 'ENSG00000150687', 'ENSG00000101955', 'ENSG00000115594', 'ENSG00000129538']",1.0
4.1,Curated_annotation,Periportal LSECs,1153,0.7107438016528925,0.9188034188034188,0.3729401561144839,258487,38,723,430,2,"['ENSG00000111341', 'ENSG00000176435']","['ENSG00000111341', 'ENSG00000152583', 'ENSG00000176435', 'ENSG00000174640', 'ENSG00000148671', 'ENSG00000105974', 'ENSG00000010278', 'ENSG00000168309', 'ENSG00000182809', 'ENSG00000240583']",1.0
4.1,Curated_annotation,Immune mix,4861,0.1109120754976063,0.0915059605036174,0.7311252828636083,219532,35285,1307,3554,1,['ENSG00000229314'],"['ENSG00000229314', 'ENSG00000158874', 'ENSG00000118271', 'ENSG00000130208', 'ENSG00000130203', 'ENSG00000171564', 'ENSG00000171560', 'ENSG00000212907', 'ENSG00000171557', 'ENSG00000110245']",0.3198759257793426
4.1,Curated_annotation,Non-inflammatory macrophages,3976,0.8868787020345094,0.9536171685704397,0.692907444668008,255568,134,1221,2755,2,"['ENSG00000073754', 'ENSG00000019169']","['ENSG00000073754', 'ENSG00000019169', 'ENSG00000162692', 'ENSG00000087237', 'ENSG00000165457', 'ENSG00000138449', 'ENSG00000162512', 'ENSG00000167601', 'ENSG00000107798', 'ENSG00000159189']",1.0
4.1,Curated_annotation,Non-classical monocytes,11186,0.7340713407134072,0.8102090686939994,0.5335240479170391,247094,1398,5218,5968,2,"['ENSG00000085265', 'ENSG00000203747']","['ENSG00000140105', 'ENSG00000085265', 'ENSG00000155366', 'ENSG00000203747', 'ENSG00000163220', 'ENSG00000166927', 'ENSG00000103187', 'ENSG00000158869', 'ENSG00000197746', 'ENSG00000163191']",0.3985932469367981
