,Bcells,CentralHep,Cholangiocyte,Erythroid,InfMac,InterHep,NKTcell,NonInfMac,PortalEndo,PortalHep,Stellate,cvLSECs
ENSG00000000971,0.0,0.7511965307322416,0.6363636363636364,0.0,0.0,0.7404112870042975,0.0,0.0,0.0,0.7211134054444053,0.7088904922658746,0.0
ENSG00000001084,0.0,0.9777508107098666,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003402,0.0,0.5739281069148671,0.6295672329989347,0.0,0.0,0.5454545454545454,0.0,0.0,0.7368438189679926,0.0,0.5657045299356634,0.6117348237471147
ENSG00000003436,0.0,0.5772337480024858,0.5454545454545454,0.0,0.0,0.565435761755163,0.0,0.0,0.6364781964908947,0.0,0.5664777647365223,0.7050048871473833
ENSG00000003989,0.0,0.9090909090909091,0.0,0.0,0.0,0.9251913753422824,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004534,0.0,0.759618797085502,0.7422498193654147,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.7533039775761691,0.0
ENSG00000004864,0.0,0.9309728416529569,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000005339,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005421,0.0,0.9116309556094083,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005471,0.0,0.9397131204605103,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005700,0.0,0.9426065845922991,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005810,0.0,0.9422369165854021,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006831,0.0,0.9275756911797957,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007933,0.0,0.954004862091758,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008294,0.0,0.9697578170082786,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008311,0.0,0.9523845423351635,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.0,0.7128433097492565,0.6363636363636364,0.0,0.0,0.7017094601284374,0.0,0.0,0.0,0.690929878841747,0.6365490393205122,0.0
ENSG00000008513,0.0,0.924351388757879,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008952,0.0,0.9090909090909091,0.0,0.0,0.0,0.917608607899059,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008988,0.8181818181818182,0.0,0.0,0.0,0.9032896540381692,0.0,0.8863468224352057,0.0,0.0,0.0,0.0,0.0
ENSG00000009335,0.0,0.9745137258009477,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009413,0.0,0.9036594033241272,0.8281431685794484,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009694,0.0,0.9091419144110247,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
