clusterName,gene
Hepato,ENSG00000159189
Hepato,ENSG00000145692
Hepato,ENSG00000173372
Hepato,ENSG00000173369
Stellate,ENSG00000146674
Fibroblast,ENSG00000163453
Fibroblast,ENSG00000122786
Fibroblast,ENSG00000159140
cvEndo,ENSG00000065054
cvEndo,ENSG00000165949
cvLSEC,ENSG00000160339
cvLSEC,ENSG00000142748
AntiB,ENSG00000170476
LAM-like,ENSG00000136235
LAM-like,ENSG00000131981
Neutrophil,ENSG00000111679
MHCII,ENSG00000130313
MHCII,ENSG00000179344
MHCII,ENSG00000204257
Monocyte,ENSG00000143546
Monocyte,ENSG00000197956
ActMac,ENSG00000158481
ActMac,ENSG00000179344
cDC,ENSG00000140968
cDC,ENSG00000130592
ppLSEC,ENSG00000148671
ppLSEC,ENSG00000110799
Arterial,ENSG00000130300
Kupffer--LSEC-Doublet,ENSG00000004799
Kupffer--LSEC-Doublet,ENSG00000010327
Kupffer,ENSG00000173369
CholMucus,ENSG00000162896
CholMucus,ENSG00000160180
I-Hepato,ENSG00000099194
I-Hepato,ENSG00000169710
I-Hepato,ENSG00000182054
I-Hepato,ENSG00000111275
I-Hepato,ENSG00000128228
C-Hepato2,ENSG00000224389
C-Hepato2,ENSG00000166126
C-Hepato2,ENSG00000134363
C-Hepato2,ENSG00000167772
C-Hepato2,ENSG00000166148
C-Hepato2,ENSG00000099769
P-Hepato2,ENSG00000214456
P-Hepato2,ENSG00000105697
P-Hepato2,ENSG00000009950
P-Hepato2,ENSG00000229807
P-Hepato,ENSG00000009950
P-Hepato,ENSG00000141485
Prolif,ENSG00000117632
Prolif,ENSG00000198830
Chol,ENSG00000196975
Tcell,ENSG00000205364
MatB,ENSG00000009950
MatB,ENSG00000100219
Hepato--Mac,ENSG00000101981
Hepato--Mac,ENSG00000163581
NKT--Mac-Doublet,ENSG00000109046
NKT--Mac-Doublet,ENSG00000271503
NKT--Mac-Doublet,ENSG00000177575
cvLSEC--T-Doublet,ENSG00000145708
cvLSEC--T-Doublet,ENSG00000128340
CD4T,ENSG00000008517
CD4T,ENSG00000185885
CD8T-cNK,ENSG00000115523
CD8T-cNK,ENSG00000167286
CD8T-cNK,ENSG00000198851
CD8T-cNK,ENSG00000271503
CD8T,ENSG00000167286
CD8T,ENSG00000271503
CD8T,ENSG00000008517
CD3T-lrNK,ENSG00000134539
CD3T-lrNK,ENSG00000211772
CD3T-lrNK,ENSG00000271503
CD3T-lrNK,ENSG00000008517
lrNK,ENSG00000173762
lrNK,ENSG00000105374
lrNK,ENSG00000185885
cNK,ENSG00000172543
cNK,ENSG00000115523
pDC,ENSG00000279483
pDC,ENSG00000132432
C-Hepato,ENSG00000165828
C-Hepato,ENSG00000140905
C-Hepato,ENSG00000184983
C-Hepato,ENSG00000166562
