clusterName,gene
Naive B cells,ENSG00000100721
Naive B cells,ENSG00000211899
Memory B cells,ENSG00000122224
Memory B cells,ENSG00000156738
MNP/B doublets,ENSG00000163631
MNP/B doublets,ENSG00000247982
ABCs,ENSG00000177455
ABCs,ENSG00000132185
ABCs,ENSG00000162144
ABCs,ENSG00000085117
pDC,ENSG00000239961
T/B doublets,ENSG00000078747
T/B doublets,ENSG00000173889
T/B doublets,ENSG00000156738
Plasma cells,ENSG00000211592
Plasmablasts,ENSG00000239264
Plasmablasts,ENSG00000088325
Mast cells,ENSG00000149534
Tfh,ENSG00000272447
Tfh,ENSG00000164300
Tfh,ENSG00000103266
Tem/emra_CD8,ENSG00000145220
Tem/emra_CD8,ENSG00000100450
Tem/emra_CD8,ENSG00000100453
Tem/emra_CD8,ENSG00000160654
Trm/em_CD8,ENSG00000113088
Trm/em_CD8,ENSG00000153563
Trm/em_CD8,ENSG00000100450
Tgd_CRTAM+,ENSG00000205809
Tgd_CRTAM+,ENSG00000138166
Tgd_CRTAM+,ENSG00000127824
Trm_Th1/Th17,ENSG00000120875
Trm_Th1/Th17,ENSG00000105717
Trm_Th1/Th17,ENSG00000163346
Trm_Th1/Th17,ENSG00000222041
NK_CD56bright_CD16-,ENSG00000143184
NK_CD56bright_CD16-,ENSG00000187118
NK_CD16+,ENSG00000159674
NK_CD16+,ENSG00000115523
Cycling T&NK,ENSG00000171848
Cycling T&NK,ENSG00000167900
Erythroid,ENSG00000055118
Progenitor,ENSG00000133169
Progenitor,ENSG00000170891
DC1,ENSG00000197992
DC1,ENSG00000131203
T_CD4/CD8,ENSG00000065413
T_CD4/CD8,ENSG00000054654
Trm_Tgd,ENSG00000132661
Trm_Tgd,ENSG00000135924
Tnaive/CM_CD4_activated,ENSG00000165591
Tnaive/CM_CD4_activated,ENSG00000117090
Tnaive/CM_CD8,ENSG00000256039
Tnaive/CM_CD8,ENSG00000126353
Tnaive/CM_CD8,ENSG00000186854
Tnaive/CM_CD4,ENSG00000182463
Tnaive/CM_CD4,ENSG00000172005
Tnaive/CM_CD4,ENSG00000126353
Teffector/EM_CD4,ENSG00000178562
Teffector/EM_CD4,ENSG00000138795
Teffector/EM_CD4,ENSG00000160789
ILC3,ENSG00000152804
ILC3,ENSG00000104951
Tregs,ENSG00000049768
Tregs,ENSG00000136738
Trm_gut_CD8,ENSG00000114737
Trm_gut_CD8,ENSG00000137078
Trm_gut_CD8,ENSG00000143184
MAIT,ENSG00000111796
MAIT,ENSG00000168685
DC2,ENSG00000158481
DC2,ENSG00000160593
Erythrophagocytic macrophages,ENSG00000250722
Erythrophagocytic macrophages,ENSG00000173369
Alveolar macrophages,ENSG00000110079
Alveolar macrophages,ENSG00000155465
Cycling,ENSG00000117399
MNP/T doublets,ENSG00000090382
MNP/T doublets,ENSG00000129226
MNP/T doublets,ENSG00000163131
MNP/T doublets,ENSG00000145649
Classical monocytes,ENSG00000163221
Classical monocytes,ENSG00000038427
Nonclassical monocytes,ENSG00000224397
Nonclassical monocytes,ENSG00000148737
Nonclassical monocytes,ENSG00000187116
Intermediate macrophages,ENSG00000197930
Intermediate macrophages,ENSG00000159399
Intestinal macrophages,ENSG00000196220
Intestinal macrophages,ENSG00000099250
