author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
CD3+ T-cells,0.5819123282977074,0.20901678083386893,0.6440533980508479,3903
CDC1,-0.021765477063528767,0.41854919261534373,0.22063047729705357,25
Cholangiocytes,0.8738681784637955,0.15995415133435872,0.9042653767992617,241
Cycling Myeloid,0.1884927001380859,0.3203720680651894,0.3019656991898629,351
Cycling Plasma,0.6198017953866394,0.15656997297555988,0.6657656508275188,493
Doublet,-0.5617064987388997,0.22162489187595732,-0.6514020771658533,364
Erythrocytes,0.6213905567666579,0.19971950882584172,0.7043764337429038,277
HSC,0.5949160434054601,0.36586460076056,0.7089489289583197,655
Hepatocytes,0.2639389325368156,0.26350803285021185,0.3410087122271237,7630
KC Like,0.3541580258478067,0.1890368475506103,0.38638893161405546,4634
LSEC,0.41259878705858627,0.25109869928737993,0.48071410856585384,7690
Macrophage (MHCII high),0.385053881013074,0.23069109538744534,0.4574214443666944,2378
Mature B-cells,0.7469119747687274,0.24746240378318948,0.8151681920805345,469
Mono-Mac,0.46436214831794015,0.2397138529119755,0.5352318753912675,3376
Myeloid Erythrocytes (phagocytosis),0.1357808024049798,0.42514833992784795,0.3403697514140286,70
NK-like cells,0.6397251425637683,0.2833485500526311,0.7322326845348486,1816
Neutrophil,0.7646588114797248,0.20458152567026558,0.8110233909881683,1143
Plasma cells,0.7160452640759467,0.17862717026278355,0.7702936401450851,722
Platelets,-0.534830754061795,0.13616749341448892,-0.5783441368309933,111
gd T-cells,0.7262468540751387,0.15394321500658859,0.7755302543414534,1777
