author_cell_type,mean,std,median,count,q1,q3,f_score
Basophils,0.9040882422107349,0.07935139848733028,0.9171465655070464,389,0.9009411916594356,0.9272949548417442,0.9776536312849162
pDCs,0.8987857220267477,0.0363183173890449,0.9103597665256788,1216,0.8978471492977859,0.9188474441567407,0.8823529411764706
cDC1s,0.8707736828929985,0.05923590269800869,0.8776017314171933,1180,0.8557344378146001,0.8940231814638011,0.8559637912673056
Mig.cDCs,0.8084572749473584,0.21604394260569887,0.875074188291373,78,0.866635122412701,0.8781373731896774,0.6896551724137931
Resident NK,0.8165831787556413,0.10462901414124777,0.8422911317041499,10894,0.8112059425359109,0.860403313673874,0.6819242662932493
B cells,0.8035397004135265,0.09323461035324208,0.8205553228292504,2350,0.7860934878435462,0.8461038877317658,0.7332511763387856
Plasma cells,0.8033377131943475,0.057845139165249325,0.8167009915816978,1125,0.776029157256397,0.8454523614041186,0.8537616229923922
Circulating NK/NKT,0.7791749188889815,0.10643738031442702,0.8035340292331439,12567,0.7567144955158942,0.8329035288860009,0.7217215840040356
Neutrophils,0.7704137903509461,0.0846898038342001,0.7951416892966541,5340,0.7434456718300035,0.8222361879460903,0.7079764453961456
Fibroblasts,0.6947271915439367,0.13599017207292413,0.7424555164024094,1273,0.6966906261395688,0.7653333731521962,0.9108079748163692
Endothelial cells,0.6196554547400134,0.16169098381800903,0.6777313810215527,2834,0.6013584207110968,0.7179570718425662,0.9350810573974004
Hepatocytes,0.5891185358984922,0.20678097364091935,0.6717038802980821,10996,0.566366454163741,0.7117611211171205,0.9794897257657932
Cholangiocytes,0.5216736796706487,0.2672449724231867,0.626936700432258,657,0.566962146091266,0.6452565308351907,0.8966820663586729
cDC2s,0.4383591172890561,0.17717341633561662,0.5025621403553123,2629,0.3472644672094029,0.5692117667309422,0.5365214543072387
Macrophages,0.25355196693435467,0.26147983188764934,0.35819924667382785,7076,0.06374145186083927,0.4701835144182632,0.8715387166307411
T cells,0.19397885452037078,0.28167664796048586,0.2774759332622267,77355,0.0835057937088803,0.39802567577169257,0.9243263790811952
Mono+mono derived cells,0.014125337696500753,0.4135382785704227,0.135980283460797,29639,-0.3741332611510946,0.42209909524117506,0.8285289631165174
