clusterName,NSForest_markers,f_score
NK-like,"['ENSG00000187118', 'ENSG00000134545']",0.7494918699186992
abT cell,"['ENSG00000167286', 'ENSG00000277734']",0.8278226794024002
B cell,"['ENSG00000105369', 'ENSG00000156738']",0.7954545454545454
Plasma,"['ENSG00000099958', 'ENSG00000048462']",0.7159487776484285
gdT cell 2,"['ENSG00000148773', 'ENSG00000131747']",0.7864674868189807
Hepatocyte,"['ENSG00000091513', 'ENSG00000091583']",0.9692956050571944
Cholangiocyte,"['ENSG00000135480', 'ENSG00000137731']",0.9406952965235174
Stellate,"['ENSG00000168542', 'ENSG00000101335']",0.859375
LSEC 1,"['ENSG00000152583', 'ENSG00000111341']",0.8060747663551402
Portal endothelial,"['ENSG00000146374', 'ENSG00000241644']",0.7866666666666666
Non-inflammatory Macs,"['ENSG00000162692', 'ENSG00000019169']",0.848585690515807
Inflammatory Macs,"['ENSG00000257764', 'ENSG00000090382']",0.8211192538307794
Erythroid,"['ENSG00000206172', 'ENSG00000147454', 'ENSG00000004939', 'ENSG00000169877']",0.8597285067873304
gdT cell 1,"['ENSG00000115523', 'ENSG00000137441']",0.7763975155279503
