clusterName,gene
Neutrophils,ENSG00000162747
NK cells,ENSG00000161405
NK cells,ENSG00000173212
NK cells,ENSG00000185885
Macrophages,ENSG00000248905
Central venous LSECs,ENSG00000136011
Central venous LSECs,ENSG00000145708
Stellate cells,ENSG00000249669
Stellate cells,ENSG00000235904
Fibroblasts,ENSG00000185053
Fibroblasts,ENSG00000148655
Cholangiocytes,ENSG00000122870
Cholangiocytes,ENSG00000146038
Pericentral hepatocytes,ENSG00000160868
Pericentral hepatocytes,ENSG00000007933
Pericentral hepatocytes,ENSG00000108924
Pericentral hepatocytes,ENSG00000198099
Interzonal hepatocytes,ENSG00000084110
Interzonal hepatocytes,ENSG00000099937
Interzonal hepatocytes,ENSG00000113905
Interzonal hepatocytes,ENSG00000132693
Interzonal hepatocytes,ENSG00000145192
Periportal hepatocytes,ENSG00000229314
Periportal hepatocytes,ENSG00000166741
Portal endothelial cells,ENSG00000146374
Portal endothelial cells,ENSG00000241644
Periportal LSECs,ENSG00000111341
Periportal LSECs,ENSG00000176435
Immune mix,ENSG00000229314
Non-inflammatory macrophages,ENSG00000073754
Non-inflammatory macrophages,ENSG00000019169
Non-classical monocytes,ENSG00000085265
Non-classical monocytes,ENSG00000203747
Classical monocytes,ENSG00000038427
Classical monocytes,ENSG00000163221
Inflammatory macrophages,ENSG00000143226
Inflammatory macrophages,ENSG00000173369
DC2,ENSG00000158481
DC2,ENSG00000149269
DC2,ENSG00000111371
DC2,ENSG00000180817
DC1,ENSG00000197992
DC1,ENSG00000128815
Migratory DCs,ENSG00000172724
Migratory DCs,ENSG00000075618
Plasma cells,ENSG00000048462
Plasma cells,ENSG00000110777
pDC,ENSG00000166428
pDC,ENSG00000166963
B cells,ENSG00000153064
B cells,ENSG00000105369
CD4 T cells,ENSG00000111678
CD4 T cells,ENSG00000168685
CD4 T cells,ENSG00000111716
MAIT cells,ENSG00000107742
MAIT cells,ENSG00000185697
MAIT cells,ENSG00000113088
Tem/Trm cytotoxic T cells,ENSG00000113088
Tem/Trm cytotoxic T cells,ENSG00000100450
Tem/Trm cytotoxic T cells,ENSG00000167286
Tem/Temra cytotoxic T cells,ENSG00000137441
Tem/Temra cytotoxic T cells,ENSG00000100450
Tem/Temra cytotoxic T cells,ENSG00000167286
CD16+ NK cells,ENSG00000137441
CD16+ NK cells,ENSG00000100453
CD16+ NK cells,ENSG00000150045
CD16- NK cells,ENSG00000117281
CD16- NK cells,ENSG00000187118
