clusterName,NSForest_markers,f_score
Neutrophils,['ENSG00000162747'],0.9171989406449604
NK cells,"['ENSG00000161405', 'ENSG00000173212', 'ENSG00000185885']",0.3698979591836734
Macrophages,['ENSG00000248905'],0.6015143017386427
Central venous LSECs,"['ENSG00000136011', 'ENSG00000145708']",0.8396902616655632
Stellate cells,"['ENSG00000249669', 'ENSG00000235904']",0.7220108151411977
Fibroblasts,"['ENSG00000185053', 'ENSG00000148655']",0.7054176072234764
Cholangiocytes,"['ENSG00000122870', 'ENSG00000146038']",0.8285737269728903
Pericentral hepatocytes,"['ENSG00000160868', 'ENSG00000007933', 'ENSG00000108924', 'ENSG00000198099']",0.7006015826873385
Interzonal hepatocytes,"['ENSG00000084110', 'ENSG00000099937', 'ENSG00000113905', 'ENSG00000132693', 'ENSG00000145192']",0.4568498452012384
Periportal hepatocytes,"['ENSG00000229314', 'ENSG00000166741']",0.5341186538800372
Portal endothelial cells,"['ENSG00000146374', 'ENSG00000241644']",0.6238532110091743
Periportal LSECs,"['ENSG00000111341', 'ENSG00000176435']",0.7107438016528925
Immune mix,['ENSG00000229314'],0.1109120754976063
Non-inflammatory macrophages,"['ENSG00000073754', 'ENSG00000019169']",0.8868787020345094
Non-classical monocytes,"['ENSG00000085265', 'ENSG00000203747']",0.7340713407134072
Classical monocytes,"['ENSG00000038427', 'ENSG00000163221']",0.8228164912174256
Inflammatory macrophages,"['ENSG00000143226', 'ENSG00000173369']",0.5715341503972409
DC2,"['ENSG00000158481', 'ENSG00000149269', 'ENSG00000111371', 'ENSG00000180817']",0.3462761126248864
DC1,"['ENSG00000197992', 'ENSG00000128815']",0.8848566308243727
Migratory DCs,"['ENSG00000172724', 'ENSG00000075618']",0.6382978723404256
Plasma cells,"['ENSG00000048462', 'ENSG00000110777']",0.7877625875291764
pDC,"['ENSG00000166428', 'ENSG00000166963']",0.8019003743161531
B cells,"['ENSG00000153064', 'ENSG00000105369']",0.7878052070686632
CD4 T cells,"['ENSG00000111678', 'ENSG00000168685', 'ENSG00000111716']",0.2908187790418202
MAIT cells,"['ENSG00000107742', 'ENSG00000185697', 'ENSG00000113088']",0.496271342995694
Tem/Trm cytotoxic T cells,"['ENSG00000113088', 'ENSG00000100450', 'ENSG00000167286']",0.649289526241692
Tem/Temra cytotoxic T cells,"['ENSG00000137441', 'ENSG00000100450', 'ENSG00000167286']",0.7018989521326314
CD16+ NK cells,"['ENSG00000137441', 'ENSG00000100453', 'ENSG00000150045']",0.7694664457708281
CD16- NK cells,"['ENSG00000117281', 'ENSG00000187118']",0.6858311800172265
