clusterName,gene
InterHep,ENSG00000084110
InterHep,ENSG00000146678
InterHep,ENSG00000052802
InterHep,ENSG00000130164
CentralHep,ENSG00000198099
CentralHep,ENSG00000108924
CentralHep,ENSG00000160868
PortalHep,ENSG00000163586
Erythroid,ENSG00000188536
NonInfMac,ENSG00000038945
NonInfMac,ENSG00000177575
InfMac,ENSG00000143546
InfMac,ENSG00000163220
NKTcell,ENSG00000133639
NKTcell,ENSG00000149273
Cholangiocyte,ENSG00000196975
Cholangiocyte,ENSG00000170927
cvLSECs,ENSG00000145708
cvLSECs,ENSG00000136011
PortalEndo,ENSG00000125968
PortalEndo,ENSG00000261371
Stellate,ENSG00000160801
Stellate,ENSG00000087116
