clusterName,NSForest_markers,f_score
InterHep,"['ENSG00000084110', 'ENSG00000146678', 'ENSG00000052802', 'ENSG00000130164']",0.4190924538287974
CentralHep,"['ENSG00000198099', 'ENSG00000108924', 'ENSG00000160868']",0.5618444875789061
PortalHep,['ENSG00000163586'],0.4366415614905448
Erythroid,['ENSG00000188536'],0.7861635220125787
NonInfMac,"['ENSG00000038945', 'ENSG00000177575']",0.6871698943661971
InfMac,"['ENSG00000143546', 'ENSG00000163220']",0.6992316136114161
NKTcell,"['ENSG00000133639', 'ENSG00000149273']",0.4862158825949801
Cholangiocyte,"['ENSG00000196975', 'ENSG00000170927']",0.8062930186823992
cvLSECs,"['ENSG00000145708', 'ENSG00000136011']",0.7707942464040025
PortalEndo,"['ENSG00000125968', 'ENSG00000261371']",0.5996152201795639
Stellate,"['ENSG00000160801', 'ENSG00000087116']",0.7159423828125
