clusterName,NSForest_markers,f_score
InterHep,"['HAL', 'IGFBP1', 'MSMO1', 'LDLR']",0.4190924538287974
CentralHep,"['ADH4', 'HLF', 'CYP3A4']",0.5618444875789061
PortalHep,['FABP1'],0.4366415614905448
Erythroid,['HBA2'],0.7861635220125787
NonInfMac,"['MSR1', 'CD163']",0.6871698943661971
InfMac,"['S100A8', 'S100A9']",0.6992316136114161
NKTcell,"['BTG1', 'RPS3']",0.4862158825949801
Cholangiocyte,"['ANXA4', 'PKHD1']",0.8062930186823992
cvLSECs,"['CRHBP', 'STAB2']",0.7707942464040025
PortalEndo,"['ID1', 'PECAM1']",0.5996152201795639
Stellate,"['PTH1R', 'ADAMTS2']",0.7159423828125
