clusterName,NSForest_markers,f_score
P-Hepato2,"['ENSG00000179218', 'ENSG00000198695', 'ENSG00000228253']",0.7101902528016679
Chol-Doublet,"['ENSG00000157551', 'ENSG00000146038', 'ENSG00000105855']",0.1900070372976777
Prolif,"['ENSG00000165304', 'ENSG00000109805']",0.8092105263157895
I-Hepato,"['ENSG00000260372', 'ENSG00000228918']",0.0702576112412178
P-Hepato,['ENSG00000084110'],0.6161930529707074
Hepato-Doublet,"['ENSG00000080709', 'ENSG00000203721', 'ENSG00000262454', 'ENSG00000186868', 'ENSG00000101695']",0.2384291725105189
C-Hepato,"['ENSG00000150722', 'ENSG00000023330']",0.3849631129755533
Tcell-Doublet,"['ENSG00000284418', 'ENSG00000205045', 'ENSG00000153283']",0.5405405405405406
Kupffer-Doublet,"['ENSG00000130222', 'ENSG00000018280', 'ENSG00000059377']",0.509915014164306
Stellate-Doublet,"['ENSG00000127954', 'ENSG00000276644']",0.2654320987654321
cvLSEC-Doublet,"['ENSG00000145708', 'ENSG00000163687']",0.1674356303021283
CholMucus,['ENSG00000134398'],0.7894736842105263
Chol,"['ENSG00000184672', 'ENSG00000146038']",0.8256227758007118
Chol--Stellate-Doublet,['ENSG00000169933'],0.5
aStellate,"['ENSG00000050555', 'ENSG00000067798']",0.696
Stellate,"['ENSG00000188517', 'ENSG00000178031']",0.8229352346999406
Fibroblast,"['ENSG00000140538', 'ENSG00000164330']",0.5859375
VSMC,['ENSG00000138722'],0.7547169811320755
ppLSEC,['ENSG00000174640'],0.7395925597874224
cvEndo,"['ENSG00000146374', 'ENSG00000127528']",0.6300813008130082
cvLSEC,"['ENSG00000136011', 'ENSG00000058866']",0.8838757396449705
cvLSEC--Mac,"['ENSG00000115590', 'ENSG00000169418']",0.5769230769230769
Kupffer,"['ENSG00000164100', 'ENSG00000066382']",0.7917261055634808
Monocyte,"['ENSG00000165025', 'ENSG00000018280']",0.7095709570957096
AntiB,['ENSG00000143297'],0.68
CD4T,['ENSG00000172673'],0.8659217877094972
lrNK,['ENSG00000150045'],0.8223684210526315
