software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,P-Hepato2,2582,0.7101902528016679,0.8562450903377847,0.4221533694810224,23744,183,1492,1090,3,"['CALR', 'MT-ND6', 'MT-ATP8']","['ENSG00000179218', 'ENSG00000101856', 'ENSG00000198695', 'ENSG00000228253', 'ENSG00000230021', 'ENSG00000145192', 'ENSG00000185624', 'ENSG00000116133', 'ENSG00000120885', 'ENSG00000185432']",0.6872106194496155
4.1,author_cell_type,Chol-Doublet,137,0.1900070372976777,0.1682242990654205,0.3941605839416058,26105,267,83,54,3,"['KCNJ15', 'DCDC2', 'ITGB8']","['ENSG00000157551', 'ENSG00000184672', 'ENSG00000146038', 'ENSG00000169862', 'ENSG00000105855', 'ENSG00000165238', 'ENSG00000122870', 'ENSG00000126838', 'ENSG00000196975', 'ENSG00000170927']",0.1666571795940399
4.1,author_cell_type,Prolif,268,0.8092105263157895,1.0,0.458955223880597,26241,0,145,123,2,"['MELK', 'NCAPG']","['ENSG00000189057', 'ENSG00000051341', 'ENSG00000066279', 'ENSG00000136492', 'ENSG00000165304', 'ENSG00000109805', 'ENSG00000139734', 'ENSG00000143476', 'ENSG00000156970', 'ENSG00000139618']",1.0
4.1,author_cell_type,I-Hepato,237,0.0702576112412178,0.0689655172413793,0.0759493670886076,26029,243,219,18,2,"['ENSG00000260372', 'ENSG00000228918']","['ENSG00000260372', 'ENSG00000228918']",0.1293187141418457
4.1,author_cell_type,P-Hepato,10201,0.6161930529707074,0.5865277260885746,0.7724732869326537,10753,5555,2321,7880,1,['HAL'],"['ENSG00000166183', 'ENSG00000011347', 'ENSG00000055163', 'ENSG00000280587', 'ENSG00000144218', 'ENSG00000084110', 'ENSG00000139344', 'ENSG00000103528', 'ENSG00000255974', 'ENSG00000135094']",0.1982005089521408
4.1,author_cell_type,Hepato-Doublet,1037,0.2384291725105189,0.2689873417721519,0.1639344262295081,25010,462,867,170,5,"['KCNN2', 'LINC00862', 'MIR193BHG', 'MAPT', 'RNF125']","['ENSG00000080709', 'ENSG00000203721', 'ENSG00000262454', 'ENSG00000186868', 'ENSG00000101695', 'ENSG00000122787', 'ENSG00000215483', 'ENSG00000106536', 'ENSG00000117009', 'ENSG00000228888']",1.0
4.1,author_cell_type,C-Hepato,5568,0.3849631129755533,0.3856185473646079,0.3823635057471264,17549,3392,3439,2129,2,"['PPP1R1C', 'ALAS1']","['ENSG00000173258', 'ENSG00000113273', 'ENSG00000187134', 'ENSG00000150722', 'ENSG00000023330', 'ENSG00000101049', 'ENSG00000105810', 'ENSG00000197142', 'ENSG00000110723', 'ENSG00000228918']",0.1870242953300476
4.1,author_cell_type,Tcell-Doublet,64,0.5405405405405406,0.7619047619047619,0.25,26440,5,48,16,3,"['ENSG00000284418', 'SLFN12L', 'CD96']","['ENSG00000284418', 'ENSG00000215483', 'ENSG00000172673', 'ENSG00000151789', 'ENSG00000205045', 'ENSG00000153283', 'ENSG00000198821', 'ENSG00000185811', 'ENSG00000164674', 'ENSG00000141293']",0.0984667167067527
4.1,author_cell_type,Kupffer-Doublet,157,0.509915014164306,0.7346938775510204,0.2292993630573248,26339,13,121,36,3,"['GADD45G', 'SLC11A1', 'TBXAS1']","['ENSG00000130222', 'ENSG00000018280', 'ENSG00000177575', 'ENSG00000059377', 'ENSG00000038945', 'ENSG00000145416', 'ENSG00000082397', 'ENSG00000151789', 'ENSG00000142347', 'ENSG00000106536']",0.0982741340994834
4.1,author_cell_type,Stellate-Doublet,282,0.2654320987654321,0.2402234636871508,0.4574468085106383,25819,408,153,129,2,"['STEAP4', 'DACH1']","['ENSG00000127954', 'ENSG00000276644', 'ENSG00000197859', 'ENSG00000019991', 'ENSG00000196569', 'ENSG00000183287', 'ENSG00000071991', 'ENSG00000151388', 'ENSG00000160801', 'ENSG00000103196']",0.1560529619455337
