cluster,n_cells,percentage
ActMac,60,0.25
AntiB,106,0.44
Arterial,52,0.21
C-Hepato,1818,7.5
C-Hepato2,82,0.34
CD3T-lrNK,46,0.19
CD4T,141,0.58
CD8T,249,1.03
CD8T-cNK,48,0.2
Chol,316,1.3
CholMucus,10,0.04
Fibroblast,258,1.06
Hepato,430,1.77
Hepato--Mac,49,0.2
I-Hepato,1199,4.95
Kupffer,857,3.54
Kupffer--LSEC-Doublet,52,0.21
LAM-like,206,0.85
MHCII,109,0.45
MatB,201,0.83
Monocyte,324,1.34
NKT--Mac-Doublet,56,0.23
Neutrophil,15,0.06
P-Hepato,9325,38.48
P-Hepato2,3944,16.27
Prolif,84,0.35
Stellate,636,2.62
Tcell,846,3.49
cDC,22,0.09
cNK,168,0.69
cvEndo,76,0.31
cvLSEC,1643,6.78
cvLSEC--T-Doublet,122,0.5
lrNK,190,0.78
pDC,324,1.34
ppLSEC,172,0.71
