author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
ActMac,0.6245032966867928,0.18952022965834003,0.6964415896775689,60
AntiB,0.7760748857814589,0.17405705303876443,0.8157656674511,106
Arterial,0.35535523773419697,0.16124127115759201,0.3626018058185181,52
C-Hepato,0.7688646367040309,0.13369736673688834,0.8078842298119102,1818
C-Hepato2,0.5456002810997269,0.18818093853378054,0.6057056499140985,82
CD3T-lrNK,0.5986878934667368,0.20830963396310587,0.6874719167666017,46
CD4T,0.6267326072237167,0.13891658074523838,0.6684124479322971,141
CD8T,-0.010745468260017358,0.341202657820155,0.062443427782654645,249
CD8T-cNK,-0.05413644230699898,0.2644088535061344,-0.08596411911136839,48
Chol,0.7339436544163535,0.0997244944164121,0.7661375108456103,316
CholMucus,-0.1530435015367692,0.2934621921268057,-0.027642042592698212,10
Fibroblast,0.36970597578947434,0.3848681896517473,0.5221959494870465,258
Hepato,-0.4905843851326984,0.16492262541100233,-0.4815548823069701,430
Hepato--Mac,0.9664489667741482,0.011915322350951009,0.9703676133661574,49
I-Hepato,0.43217852000117757,0.24446473631668397,0.5228535050119943,1199
Kupffer,-0.3561018140656672,0.22174012405328622,-0.3436993983199558,857
Kupffer--LSEC-Doublet,0.15632511450475295,0.38260758220695307,0.3317908419865251,52
LAM-like,0.3109623976940213,0.20779128074767064,0.386459673962132,206
MHCII,0.38243781173174474,0.29246623461457355,0.4810861011543662,109
MatB,0.8403797305473911,0.03301925536291814,0.8459032064676626,201
Monocyte,0.274024424176773,0.4179811207332117,0.5029280060574601,324
NKT--Mac-Doublet,-0.7230281999493986,0.17600314957830596,-0.7892852232387082,56
Neutrophil,-0.30717087582908953,0.17962010074388374,-0.24400504444273516,15
P-Hepato,0.13027169935989197,0.2619416288415671,0.20904520951503153,9325
P-Hepato2,0.7977202640056908,0.06709789574178796,0.8082769803479408,3944
Prolif,0.636064338192915,0.4790373431948325,0.812074843282476,84
Stellate,0.8571936378514267,0.04976014020810625,0.8674786368501879,636
Tcell,-0.4213096816407333,0.24368913586636495,-0.43154674738202264,846
cDC,0.6887886612993311,0.35746056215271044,0.8245220314547629,22
cNK,0.5072413838543508,0.34601720075315706,0.6637822502264124,168
cvEndo,0.6072703323598695,0.2213657397364985,0.6972361655378749,76
cvLSEC,0.006326282868651872,0.333786224292254,0.1664688962111082,1643
cvLSEC--T-Doublet,-0.7995956377509764,0.05851893234251694,-0.7909770631064754,122
lrNK,0.6939084011778749,0.21176252302090418,0.7531176264065186,190
pDC,0.9086350892015259,0.1434653046439056,0.9252724931555872,324
ppLSEC,0.5845648028574666,0.1954494188090092,0.6711598978268596,172
