clusterName,gene
LAM-like,GPNMB
LAM-like,LGALS3
Neutrophil,PTPN6
MHCII,PGLS
MHCII,HLA-DQB1
MHCII,HLA-DMA
Monocyte,S100A8
Monocyte,S100A6
ActMac,CD1C
ActMac,HLA-DQB1
cDC,IRF8
cDC,LSP1
ppLSEC,ADIRF
ppLSEC,VWF
Arterial,PLVAP
Kupffer--LSEC-Doublet,PDK4
Kupffer--LSEC-Doublet,STAB1
Kupffer,C1QB
NKT--Mac-Doublet,WSB1
NKT--Mac-Doublet,CCL5
NKT--Mac-Doublet,CD163
cvLSEC--T-Doublet,CRHBP
cvLSEC--T-Doublet,RAC2
CD4T,IL32
CD4T,IFITM1
CD8T-cNK,GNLY
CD8T-cNK,CD3D
CD8T-cNK,CD3E
CD8T-cNK,CCL5
CD8T,CD3D
CD8T,CCL5
CD8T,IL32
CD3T-lrNK,KLRD1
CD3T-lrNK,ENSG00000211772
CD3T-lrNK,CCL5
CD3T-lrNK,IL32
lrNK,CD7
lrNK,NKG7
lrNK,IFITM1
cNK,CTSW
cNK,GNLY
pDC,ENSG00000279483
pDC,SEC61G
C-Hepato,PRAP1
C-Hepato,GCSH
C-Hepato,NDUFA6
C-Hepato,SEC11C
CholMucus,PIGR
CholMucus,TFF3
I-Hepato,SCD
I-Hepato,FASN
I-Hepato,IDH2
I-Hepato,ALDH2
I-Hepato,SDF2L1
C-Hepato2,C4B
C-Hepato2,AMN
C-Hepato2,FST
C-Hepato2,ANGPTL4
C-Hepato2,AVPR1A
C-Hepato2,IGFALS
P-Hepato2,PLIN5
P-Hepato2,HAMP
P-Hepato2,MLXIPL
P-Hepato2,XIST
P-Hepato,MLXIPL
P-Hepato,SLC13A5
Prolif,STMN1
Prolif,HMGN2
Chol,ANXA4
Tcell,MT1M
MatB,MLXIPL
MatB,XBP1
Hepato--Mac,F9
Hepato--Mac,SLC2A2
Hepato,C1QC
Hepato,BHMT
Hepato,C1QA
Hepato,C1QB
Stellate,IGFBP3
Fibroblast,IGFBP7
Fibroblast,CALD1
Fibroblast,SON
cvEndo,NHERF2
cvEndo,IFI27
cvLSEC,FCN2
cvLSEC,FCN3
AntiB,MZB1
