clusterName,NSForest_markers,f_score
LAM-like,"['ENSG00000136235', 'ENSG00000131981']",0.770893371757925
Neutrophil,['ENSG00000111679'],0.2631578947368421
MHCII,"['ENSG00000130313', 'ENSG00000179344', 'ENSG00000204257']",0.3299492385786802
Monocyte,"['ENSG00000143546', 'ENSG00000197956']",0.6892123287671232
ActMac,"['ENSG00000158481', 'ENSG00000179344']",0.65625
cDC,"['ENSG00000140968', 'ENSG00000130592']",0.5434782608695652
ppLSEC,"['ENSG00000148671', 'ENSG00000110799']",0.6435643564356436
Arterial,['ENSG00000130300'],0.6060606060606061
Kupffer--LSEC-Doublet,"['ENSG00000004799', 'ENSG00000010327']",0.1404494382022472
Kupffer,['ENSG00000173369'],0.5924501922404753
NKT--Mac-Doublet,"['ENSG00000109046', 'ENSG00000271503', 'ENSG00000177575']",0.4861111111111111
cvLSEC--T-Doublet,"['ENSG00000145708', 'ENSG00000128340']",0.5491329479768786
CD4T,"['ENSG00000008517', 'ENSG00000185885']",0.2680652680652681
CD8T-cNK,"['ENSG00000115523', 'ENSG00000167286', 'ENSG00000198851', 'ENSG00000271503']",0.5208333333333334
CD8T,"['ENSG00000167286', 'ENSG00000271503', 'ENSG00000008517']",0.4785478547854785
CD3T-lrNK,"['ENSG00000134539', 'ENSG00000211772', 'ENSG00000271503', 'ENSG00000008517']",0.3333333333333333
lrNK,"['ENSG00000173762', 'ENSG00000105374', 'ENSG00000185885']",0.3934426229508196
cNK,"['ENSG00000172543', 'ENSG00000115523']",0.5652173913043478
pDC,"['ENSG00000279483', 'ENSG00000132432']",0.3254132231404958
C-Hepato,"['ENSG00000165828', 'ENSG00000140905', 'ENSG00000184983', 'ENSG00000166562']",0.6628339533310788
CholMucus,"['ENSG00000162896', 'ENSG00000160180']",0.7894736842105263
I-Hepato,"['ENSG00000099194', 'ENSG00000169710', 'ENSG00000182054', 'ENSG00000111275', 'ENSG00000128228']",0.283965186605694
C-Hepato2,"['ENSG00000224389', 'ENSG00000166126', 'ENSG00000134363', 'ENSG00000167772', 'ENSG00000166148', 'ENSG00000099769']",0.2972972972972973
P-Hepato2,"['ENSG00000214456', 'ENSG00000105697', 'ENSG00000009950', 'ENSG00000229807']",0.3656622724419334
P-Hepato,"['ENSG00000009950', 'ENSG00000141485']",0.5445374174535912
Prolif,"['ENSG00000117632', 'ENSG00000198830']",0.5232558139534884
Chol,['ENSG00000196975'],0.5455801104972375
Tcell,['ENSG00000205364'],0.0536352800953516
MatB,"['ENSG00000009950', 'ENSG00000100219']",0.024390243902439
Hepato--Mac,"['ENSG00000101981', 'ENSG00000163581']",0.072463768115942
Hepato,"['ENSG00000159189', 'ENSG00000145692', 'ENSG00000173372', 'ENSG00000173369']",0.305591677503251
Stellate,['ENSG00000146674'],0.7488207547169812
Fibroblast,"['ENSG00000163453', 'ENSG00000122786', 'ENSG00000159140']",0.1456692913385826
cvEndo,"['ENSG00000065054', 'ENSG00000165949']",0.3225806451612903
cvLSEC,"['ENSG00000160339', 'ENSG00000142748']",0.7173873710873891
AntiB,['ENSG00000170476'],0.8755274261603375
