clusterName,NSForest_markers,f_score
LAM-like,"['GPNMB', 'LGALS3']",0.770893371757925
Neutrophil,['PTPN6'],0.2631578947368421
MHCII,"['PGLS', 'HLA-DQB1', 'HLA-DMA']",0.3299492385786802
Monocyte,"['S100A8', 'S100A6']",0.6892123287671232
ActMac,"['CD1C', 'HLA-DQB1']",0.65625
cDC,"['IRF8', 'LSP1']",0.5434782608695652
ppLSEC,"['ADIRF', 'VWF']",0.6435643564356436
Arterial,['PLVAP'],0.6060606060606061
Kupffer--LSEC-Doublet,"['PDK4', 'STAB1']",0.1404494382022472
Kupffer,['C1QB'],0.5924501922404753
NKT--Mac-Doublet,"['WSB1', 'CCL5', 'CD163']",0.4861111111111111
cvLSEC--T-Doublet,"['CRHBP', 'RAC2']",0.5491329479768786
CD4T,"['IL32', 'IFITM1']",0.2680652680652681
CD8T-cNK,"['GNLY', 'CD3D', 'CD3E', 'CCL5']",0.5208333333333334
CD8T,"['CD3D', 'CCL5', 'IL32']",0.4785478547854785
CD3T-lrNK,"['KLRD1', 'ENSG00000211772', 'CCL5', 'IL32']",0.3333333333333333
lrNK,"['CD7', 'NKG7', 'IFITM1']",0.3934426229508196
cNK,"['CTSW', 'GNLY']",0.5652173913043478
pDC,"['ENSG00000279483', 'SEC61G']",0.3254132231404958
C-Hepato,"['PRAP1', 'GCSH', 'NDUFA6', 'SEC11C']",0.6628339533310788
CholMucus,"['PIGR', 'TFF3']",0.7894736842105263
I-Hepato,"['SCD', 'FASN', 'IDH2', 'ALDH2', 'SDF2L1']",0.283965186605694
C-Hepato2,"['C4B', 'AMN', 'FST', 'ANGPTL4', 'AVPR1A', 'IGFALS']",0.2972972972972973
P-Hepato2,"['PLIN5', 'HAMP', 'MLXIPL', 'XIST']",0.3656622724419334
P-Hepato,"['MLXIPL', 'SLC13A5']",0.5445374174535912
Prolif,"['STMN1', 'HMGN2']",0.5232558139534884
Chol,['ANXA4'],0.5455801104972375
Tcell,['MT1M'],0.0536352800953516
MatB,"['MLXIPL', 'XBP1']",0.024390243902439
Hepato--Mac,"['F9', 'SLC2A2']",0.072463768115942
Hepato,"['C1QC', 'BHMT', 'C1QA', 'C1QB']",0.305591677503251
Stellate,['IGFBP3'],0.7488207547169812
Fibroblast,"['IGFBP7', 'CALD1', 'SON']",0.1456692913385826
cvEndo,"['NHERF2', 'IFI27']",0.3225806451612903
cvLSEC,"['FCN2', 'FCN3']",0.7173873710873891
AntiB,['MZB1'],0.8755274261603375
