software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Manually_curated_celltype,Naive B cells,106,0.576036866359447,0.6097560975609756,0.4716981132075472,13224,32,56,50,2,"['ENSG00000100721', 'ENSG00000211899']","['ENSG00000100721', 'ENSG00000104921', 'ENSG00000163534', 'ENSG00000112182', 'ENSG00000122986', 'ENSG00000211899', 'ENSG00000247982', 'ENSG00000167483', 'ENSG00000007312', 'ENSG00000153064']",0.796170711517334
4.1,Manually_curated_celltype,Memory B cells,149,0.6238361266294227,0.6907216494845361,0.4496644295302013,13183,30,82,67,2,"['ENSG00000122224', 'ENSG00000156738']","['ENSG00000122224', 'ENSG00000153064', 'ENSG00000156738', 'ENSG00000169508', 'ENSG00000105369', 'ENSG00000150347', 'ENSG00000140968', 'ENSG00000196735', 'ENSG00000179344', 'ENSG00000227507']",0.3497747182846069
4.1,Manually_curated_celltype,MNP/B doublets,113,0.6361323155216285,0.7142857142857143,0.4424778761061947,13229,20,63,50,2,"['ENSG00000163631', 'ENSG00000247982']","['ENSG00000163631', 'ENSG00000116191', 'ENSG00000247982', 'ENSG00000144218', 'ENSG00000257017', 'ENSG00000167483', 'ENSG00000007312', 'ENSG00000153064', 'ENSG00000156738', 'ENSG00000105369']",0.4405487179756164
4.1,Manually_curated_celltype,ABCs,31,0.5223880597014925,0.7777777777777778,0.2258064516129032,13329,2,24,7,4,"['ENSG00000177455', 'ENSG00000132185', 'ENSG00000162144', 'ENSG00000085117']","['ENSG00000160856', 'ENSG00000177455', 'ENSG00000132185', 'ENSG00000143297', 'ENSG00000162144', 'ENSG00000085117', 'ENSG00000156738', 'ENSG00000140678', 'ENSG00000105369', 'ENSG00000000938']",0.7454431056976318
4.1,Manually_curated_celltype,pDC,25,0.8235294117647058,0.9333333333333332,0.56,13336,1,11,14,1,['ENSG00000239961'],"['ENSG00000239961', 'ENSG00000166428', 'ENSG00000185291', 'ENSG00000198467', 'ENSG00000185507', 'ENSG00000148154', 'ENSG00000142192', 'ENSG00000119866', 'ENSG00000132386', 'ENSG00000137265']",1.0
4.1,Manually_curated_celltype,T/B doublets,28,0.4807692307692308,0.8333333333333334,0.1785714285714285,13333,1,23,5,3,"['ENSG00000078747', 'ENSG00000173889', 'ENSG00000156738']","['ENSG00000078747', 'ENSG00000173889', 'ENSG00000122224', 'ENSG00000068912', 'ENSG00000132465', 'ENSG00000156738', 'ENSG00000105369', 'ENSG00000180644', 'ENSG00000186298', 'ENSG00000105374']",0.0999137982726097
4.1,Manually_curated_celltype,Plasma cells,171,0.7641921397379913,0.813953488372093,0.6140350877192983,13167,24,66,105,1,['ENSG00000211592'],"['ENSG00000211892', 'ENSG00000048462', 'ENSG00000211592', 'ENSG00000211897', 'ENSG00000211896', 'ENSG00000099958', 'ENSG00000110777', 'ENSG00000211893', 'ENSG00000166562', 'ENSG00000123131']",0.6010035872459412
4.1,Manually_curated_celltype,Plasmablasts,37,0.7920792079207921,1.0,0.4324324324324324,13325,0,21,16,2,"['ENSG00000239264', 'ENSG00000088325']","['ENSG00000171241', 'ENSG00000211677', 'ENSG00000169679', 'ENSG00000101057', 'ENSG00000239264', 'ENSG00000088325', 'ENSG00000166562', 'ENSG00000170476', 'ENSG00000171848', 'ENSG00000132465']",0.390829861164093
4.1,Manually_curated_celltype,Mast cells,5,0.9523809523809524,1.0,0.8,13357,0,1,4,1,['ENSG00000149534'],"['ENSG00000149534', 'ENSG00000140287', 'ENSG00000233968', 'ENSG00000172236', 'ENSG00000197253', 'ENSG00000164120', 'ENSG00000165646', 'ENSG00000110002', 'ENSG00000105492', 'ENSG00000115602']",1.0
4.1,Manually_curated_celltype,Tfh,8,0.625,1.0,0.25,13354,0,6,2,3,"['ENSG00000272447', 'ENSG00000164300', 'ENSG00000103266']","['ENSG00000272447', 'ENSG00000164300', 'ENSG00000162739', 'ENSG00000154642', 'ENSG00000103266', 'ENSG00000169249', 'ENSG00000007923', 'ENSG00000198586', 'ENSG00000177666', 'ENSG00000088205']",1.0
4.1,Manually_curated_celltype,DC2,92,0.6451612903225806,0.8205128205128205,0.3478260869565217,13263,7,60,32,2,"['ENSG00000158481', 'ENSG00000160593']","['ENSG00000132514', 'ENSG00000158481', 'ENSG00000072694', 'ENSG00000160593', 'ENSG00000148180', 'ENSG00000237541', 'ENSG00000196735', 'ENSG00000204257', 'ENSG00000179344', 'ENSG00000198502']",0.7347075939178467
4.1,Manually_curated_celltype,Erythrophagocytic macrophages,433,0.7435897435897436,0.871244635193133,0.4688221709006928,12899,30,230,203,2,"['ENSG00000250722', 'ENSG00000173369']","['ENSG00000153071', 'ENSG00000250722', 'ENSG00000130208', 'ENSG00000019169', 'ENSG00000173369', 'ENSG00000173372', 'ENSG00000159189', 'ENSG00000130203', 'ENSG00000138449', 'ENSG00000164687']",0.4381662011146545
4.1,Manually_curated_celltype,Alveolar macrophages,11,0.5263157894736842,1.0,0.1818181818181818,13351,0,9,2,2,"['ENSG00000110079', 'ENSG00000155465']","['ENSG00000110079', 'ENSG00000164687', 'ENSG00000155465', 'ENSG00000232388', 'ENSG00000110717', 'ENSG00000131981', 'ENSG00000129226', 'ENSG00000141480', 'ENSG00000042753', 'ENSG00000030582']",0.4507538080215454
4.1,Manually_curated_celltype,Cycling,16,0.5357142857142857,1.0,0.1875,13346,0,13,3,1,['ENSG00000117399'],"['ENSG00000138778', 'ENSG00000117399', 'ENSG00000029993', 'ENSG00000198901', 'ENSG00000148773', 'ENSG00000164611', 'ENSG00000184357', 'ENSG00000166803', 'ENSG00000182287', 'ENSG00000164104']",0.6783558130264282
4.1,Manually_curated_celltype,MNP/T doublets,92,0.3125,0.8888888888888888,0.0869565217391304,13269,1,84,8,4,"['ENSG00000090382', 'ENSG00000129226', 'ENSG00000163131', 'ENSG00000145649']","['ENSG00000090382', 'ENSG00000111796', 'ENSG00000129226', 'ENSG00000163131', 'ENSG00000204472', 'ENSG00000145649', 'ENSG00000216490', 'ENSG00000105374', 'ENSG00000101439', 'ENSG00000077984']",0.0992485433816909
4.1,Manually_curated_celltype,Classical monocytes,1495,0.8468584284107343,0.8917089678510999,0.7050167224080267,11739,128,441,1054,2,"['ENSG00000163221', 'ENSG00000038427']","['ENSG00000163221', 'ENSG00000135218', 'ENSG00000121552', 'ENSG00000143546', 'ENSG00000163563', 'ENSG00000038427', 'ENSG00000170458', 'ENSG00000085265', 'ENSG00000197405', 'ENSG00000163220']",0.5436530113220215
4.1,Manually_curated_celltype,Nonclassical monocytes,458,0.7147562582345192,0.8188679245283019,0.4737991266375546,12856,48,241,217,3,"['ENSG00000224397', 'ENSG00000148737', 'ENSG00000187116']","['ENSG00000129757', 'ENSG00000183779', 'ENSG00000224397', 'ENSG00000148737', 'ENSG00000085514', 'ENSG00000187116', 'ENSG00000104972', 'ENSG00000131042', 'ENSG00000203747', 'ENSG00000166927']",0.5077134370803833
4.1,Manually_curated_celltype,Intermediate macrophages,38,0.4838709677419355,1.0,0.1578947368421052,13324,0,32,6,2,"['ENSG00000197930', 'ENSG00000159399']","['ENSG00000166920', 'ENSG00000197930', 'ENSG00000274213', 'ENSG00000159399', 'ENSG00000137801', 'ENSG00000112715', 'ENSG00000128383', 'ENSG00000104765', 'ENSG00000147872', 'ENSG00000291237']",1.0
4.1,Manually_curated_celltype,Intestinal macrophages,5,0.8823529411764706,1.0,0.6,13357,0,2,3,2,"['ENSG00000196220', 'ENSG00000099250']","['ENSG00000196220', 'ENSG00000099250', 'ENSG00000136960', 'ENSG00000106733', 'ENSG00000136869', 'ENSG00000105609', 'ENSG00000090530', 'ENSG00000025434', 'ENSG00000162692', 'ENSG00000153208']",1.0
4.1,Manually_curated_celltype,Tem/emra_CD8,750,0.4686035613870665,0.5780346820809249,0.2666666666666666,12466,146,550,200,4,"['ENSG00000145220', 'ENSG00000100450', 'ENSG00000100453', 'ENSG00000160654']","['ENSG00000145220', 'ENSG00000137441', 'ENSG00000115523', 'ENSG00000100450', 'ENSG00000100453', 'ENSG00000160654', 'ENSG00000180644', 'ENSG00000134107', 'ENSG00000105374', 'ENSG00000271503']",0.2394082248210907
