cluster_name,skos,manual_mapped_cid,cell_ontology_id
CD3+ T-cells,,,CL:0000084
CDC1,,,CL:0000990
Cholangiocytes,,,CL:1000488
Cycling Myeloid,,,CL:4033081
Cycling Plasma,,,CL:4047003
Doublet,,,unknown
Erythrocytes,,,CL:0000232
HSC,,,CL:0000037
Hepatocytes,,,CL:0000182
KC Like,,,CL:0000091
LSEC,,,CL:1000398
Macrophage (MHCII high),,,CL:0000235
Mature B-cells,,,CL:0000785
Mono-Mac,,,CL:0000113
Myeloid Erythrocytes (phagocytosis),,,CL:0000232
NK-like cells,,,CL:0000623
Neutrophil,,,CL:0000775
Plasma cells,,,CL:0000786
Platelets,,,CL:0000233
gd T-cells,,,CL:0000798
