clusterName,gene
Platelets,ENSG00000163736
Platelets,ENSG00000163737
LSEC,ENSG00000127329
Doublet,ENSG00000138315
Doublet,ENSG00000160339
Doublet,ENSG00000163687
Doublet,ENSG00000111796
Doublet,ENSG00000145649
gd T-cells,ENSG00000115523
gd T-cells,ENSG00000100453
NK-like cells,ENSG00000143184
NK-like cells,ENSG00000100385
CD3+ T-cells,ENSG00000167286
Mature B-cells,ENSG00000156738
Mature B-cells,ENSG00000105369
Plasma cells,ENSG00000061656
Plasma cells,ENSG00000099958
Cycling Plasma,ENSG00000171848
Cycling Plasma,ENSG00000101057
Cycling Myeloid,ENSG00000131747
Cycling Myeloid,ENSG00000148773
Erythrocytes,ENSG00000112077
Erythrocytes,ENSG00000250361
Myeloid Erythrocytes (phagocytosis),ENSG00000073754
Myeloid Erythrocytes (phagocytosis),ENSG00000244734
Myeloid Erythrocytes (phagocytosis),ENSG00000223609
KC Like,ENSG00000073754
KC Like,ENSG00000019169
CDC1,ENSG00000197992
CDC1,ENSG00000131203
Macrophage (MHCII high),ENSG00000129538
Macrophage (MHCII high),ENSG00000159189
Macrophage (MHCII high),ENSG00000173372
Macrophage (MHCII high),ENSG00000173369
Mono-Mac,ENSG00000038427
Mono-Mac,ENSG00000143546
Neutrophil,ENSG00000112303
Neutrophil,ENSG00000135842
Hepatocytes,ENSG00000066813
Hepatocytes,ENSG00000091513
Cholangiocytes,ENSG00000135480
Cholangiocytes,ENSG00000164825
HSC,ENSG00000101335
HSC,ENSG00000149591
