clusterName,NSForest_markers,f_score
Platelets,"['PPBP', 'PF4']",0.807799442896936
LSEC,['PTPRB'],0.8446010283755475
Doublet,"['OIT3', 'FCN2', 'DNASE1L3', 'KLRB1', 'GZMA']",0.5786026200873362
gd T-cells,"['GNLY', 'GZMB']",0.8186206020576654
NK-like cells,"['XCL1', 'IL2RB']",0.7826160053799597
CD3+ T-cells,['CD3D'],0.863996273870517
Mature B-cells,"['MS4A1', 'CD79A']",0.8750754375377188
Plasma cells,"['SPAG4', 'DERL3']",0.7174490699734278
Cycling Plasma,"['RRM2', 'MYBL2']",0.7139107611548556
Cycling Myeloid,"['TOP2A', 'MKI67']",0.5846994535519126
Erythrocytes,"['RHAG', 'GYPB']",0.912442396313364
Myeloid Erythrocytes (phagocytosis),"['CD5L', 'HBB', 'HBD']",0.8759124087591241
KC Like,"['CD5L', 'MARCO']",0.837664692372779
CDC1,"['CLEC9A', 'IDO1']",0.9405940594059404
Macrophage (MHCII high),"['RNASE1', 'C1QC', 'C1QA', 'C1QB']",0.5467289719626168
Mono-Mac,"['VCAN', 'S100A8']",0.8834776334776335
Neutrophil,"['VNN2', 'NIBAN1']",0.8048927816369676
Hepatocytes,"['ACSM2B', 'TF']",0.8408345544623543
Cholangiocytes,"['KRT7', 'DEFB1']",0.903954802259887
HSC,"['MYL9', 'TAGLN']",0.7916437603078614
