author_cell_type,mean,std,median,count,q1,q3,f_score
Cholangiocytes,0.8741470193722106,0.0745991486712301,0.90314250986778,241,0.8809100361228528,0.9135062472444868,0.903954802259887
Mature B-cells,0.7580558652000724,0.2537503352436399,0.813133465628078,469,0.7896328688727896,0.8290752641048167,0.8750754375377188
Plasma cells,0.7392975993715077,0.1655938718747506,0.7912832961576529,722,0.7544647285888839,0.8147951307119732,0.7174490699734278
gd T-cells,0.7449513784767564,0.18823696973431817,0.7847765847013637,1777,0.7359615408653538,0.8144447415096027,0.8186206020576654
NK-like cells,0.6836184158105965,0.2917992817722078,0.7753461261603771,1816,0.7213749081644012,0.7992008876157214,0.7826160053799597
Erythrocytes,0.6326751545607743,0.1525400633654288,0.7043624897034136,277,0.5360543389990761,0.734704969195072,0.912442396313364
Cycling Plasma,0.6512360755319831,0.15078713019155796,0.6970356896703773,493,0.6121725758194521,0.7457888692962069,0.7139107611548556
CD3+ T-cells,0.618487013628459,0.15698078689136072,0.6630066155349725,3903,0.5581154059891191,0.7234955355493918,0.863996273870517
Neutrophil,0.5670345405259157,0.2623172198506444,0.6393765500212334,1143,0.5871120901102342,0.6663318702373389,0.8048927816369676
CDC1,0.39377647652990533,0.3555866545716208,0.5567920840298343,25,0.4600981093654999,0.5730824164062909,0.9405940594059404
LSEC,0.4455767001520906,0.22139570330833522,0.48746699616020817,7690,0.3474520999916259,0.6102565122442758,0.8446010283755475
Mono-Mac,0.32849770706436876,0.31898853512968617,0.45756934582833897,3376,0.20545920477804844,0.5668307440110381,0.8834776334776335
Hepatocytes,0.3544522838299213,0.2652322688772053,0.4452336535883755,7630,0.2571037793962502,0.5322479394256904,0.8408345544623543
HSC,0.37204077204971897,0.27322542570087116,0.4388703143405363,655,0.3900364668528761,0.5101882280300769,0.7916437603078614
KC Like,0.3611130555682192,0.20046224311630223,0.398621764970314,4634,0.28669125045103117,0.5087449654400633,0.837664692372779
Cycling Myeloid,0.05630114933367829,0.36814296510969047,0.2359448762980823,351,-0.0292459274439455,0.3087911263759462,0.5846994535519126
Macrophage (MHCII high),0.1067119028368077,0.30571302133408135,0.1774748904693899,2378,-0.16470493598634994,0.39388318844168335,0.5467289719626168
Myeloid Erythrocytes (phagocytosis),-0.31545026769669626,0.2372796540672788,-0.2525683342618323,70,-0.4294915423969652,-0.10458277640944715,0.8759124087591241
Platelets,-0.41089106361874744,0.2182024156173417,-0.3062797861496474,111,-0.6141795510800352,-0.1999527422980574,0.807799442896936
Doublet,-0.7747471491898007,0.06875669923836723,-0.7904497072221113,364,-0.8315343560212414,-0.7286481503375246,0.5786026200873362
