clusterName,NSForest_markers,f_score
Mono+mono derived cells,"['ENSG00000085265', 'ENSG00000197766']",0.8285289631165174
Macrophages,"['ENSG00000173372', 'ENSG00000165457']",0.8715387166307411
Neutrophils,['ENSG00000119535'],0.7079764453961456
Endothelial cells,['ENSG00000127329'],0.9350810573974004
Fibroblasts,"['ENSG00000185532', 'ENSG00000183287']",0.9108079748163692
Cholangiocytes,"['ENSG00000169862', 'ENSG00000122870']",0.8966820663586729
Hepatocytes,"['ENSG00000066813', 'ENSG00000183747']",0.9794897257657932
Resident NK,"['ENSG00000143184', 'ENSG00000074966']",0.6819242662932493
Circulating NK/NKT,"['ENSG00000137441', 'ENSG00000198821']",0.7217215840040356
T cells,['ENSG00000167286'],0.9243263790811952
Basophils,['ENSG00000172236'],0.9776536312849162
Plasma cells,"['ENSG00000166562', 'ENSG00000048462']",0.8537616229923922
pDCs,"['ENSG00000239961', 'ENSG00000166963']",0.8823529411764706
B cells,['ENSG00000156738'],0.7332511763387856
Mig.cDCs,"['ENSG00000078081', 'ENSG00000159166']",0.6896551724137931
cDC1s,"['ENSG00000197992', 'ENSG00000109684']",0.8559637912673056
cDC2s,"['ENSG00000179639', 'ENSG00000158481']",0.5365214543072387
