clusterName,NSForest_markers,f_score
Mono+mono derived cells,"['FCN1', 'CFD']",0.8285289631165174
Macrophages,"['C1QA', 'FOLR2']",0.8715387166307411
Neutrophils,['CSF3R'],0.7079764453961456
Endothelial cells,['PTPRB'],0.9350810573974004
Fibroblasts,"['PRKG1', 'CCBE1']",0.9108079748163692
Cholangiocytes,"['CTNND2', 'BICC1']",0.8966820663586729
Hepatocytes,"['ACSM2B', 'ACSM2A']",0.9794897257657932
Resident NK,"['XCL1', 'TXK']",0.6819242662932493
Circulating NK/NKT,"['FGFBP2', 'CD247']",0.7217215840040356
T cells,['CD3D'],0.9243263790811952
Basophils,['TPSAB1'],0.9776536312849162
Plasma cells,"['SEC11C', 'TNFRSF17']",0.8537616229923922
pDCs,"['LILRA4', 'MAP1A']",0.8823529411764706
B cells,['MS4A1'],0.7332511763387856
Mig.cDCs,"['LAMP3', 'LAD1']",0.6896551724137931
cDC1s,"['CLEC9A', 'CLNK']",0.8559637912673056
cDC2s,"['FCER1A', 'CD1C']",0.5365214543072387
