,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79601645,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36842042,0.0,0.0,1.2775927,0.0,0.0,0.8414366,0.8633868,0.8155883
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.7506224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77516705,0.0,0.0,1.057134,0.0,0.0,0.8163501,0.77215034,0.0
SSU72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6200968,0.0,0.0,0.880717,0.0,0.0,0.82713544,0.8305143,0.0
GNB1,0.0,0.0,0.0,0.0,0.8538656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5905584,0.0,0.0
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445707,0.0,0.0,0.0,0.0,0.0
RPL22,3.2580965,3.1334877,0.0,2.6797059,0.0,0.0,0.0,2.6992283,2.927711,2.953168,0.0,2.7996826,2.707988,2.9089227,3.2882018,3.202887,3.1366615
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814803,0.0,0.0
PER3,0.0,0.0,0.0,0.0,0.0,0.0,0.90037656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.0,0.0,0.0,1.4691639,0.0,0.0,0.0,0.9105396,1.6990104,1.2476084,0.0,1.4034876,1.4753764,1.0950253,1.5026122,1.4111761,2.2545717
ERRFI1,0.0,0.0,1.5512731,0.0,0.0,0.0,3.3178272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,0.0,0.0,2.2966218,0.0,2.1763444,2.2096465,1.9299668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116158,2.1162047,1.7532386,0.0,0.78704184,1.1314597,0.0,1.9972318,1.830539,1.1842839
GPR157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2488782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H6PD,0.0,0.0,0.0,0.0,0.0,0.0,0.8934406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE4B,0.0,0.0,0.0,0.0,0.0,0.0,0.8352902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.9749645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEX14,0.0,0.0,0.0,0.0,0.0,0.0,0.98166335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASP2,0.0,0.0,0.0,0.0,0.0,0.0,0.34262675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1963849,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479842,0.0,1.2447848,0.0,0.0,0.0,0.0,0.0,0.68179375,0.0
VPS13D,0.0,0.0,0.0,0.0,0.0,0.0,1.0164652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.60408807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAZN,0.0,0.0,0.0,0.0,0.0,1.971897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.0,0.0,0.0,1.9734956,0.0,0.0,0.0,0.0,0.8381089,0.0,0.0,0.0,0.0,0.0,0.98961174,1.0641084,0.0
DDI2,0.0,0.0,0.0,0.0,0.0,0.0,0.97795635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.6734229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXO42,0.0,0.0,0.0,0.0,0.0,0.0,0.78818476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6773982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215908,0.0,0.0,0.0,0.0,0.0,0.0,0.65786475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF10L,0.0,0.0,0.0,0.0,0.0,0.0,1.5316528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBR4,0.0,0.0,0.0,0.0,0.0,0.0,0.89902043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64963496,0.0,0.0
CAPZB,0.0,0.0,0.0,1.1776347,0.0,0.0,0.0,1.2144812,1.5931654,1.4446672,0.0,0.0,1.2416258,0.0,1.4448247,1.2975402,1.0782378
MICOS10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99040836,0.0,0.0,0.0,0.0,0.9531547,0.92251563,0.0
PLA2G5,0.0,0.0,0.0,0.0,0.0,0.66891026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.0,0.0,0.23013669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5563707,0.0,0.0,0.5518266,0.0,0.0
HP1BP3,0.0,0.0,0.0,0.0,1.0102432,0.0,0.81016713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,1.0223343,0.0,1.8820808,1.5666871,1.0793647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE1,0.0,0.0,0.0,0.0,0.0,0.0,0.76284677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.0,0.0,0.5075152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPG2,0.0,0.0,0.0,0.0,1.8650537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.3644891,0.0,0.0,1.7272826,0.0,0.0,0.0,1.4635229,1.8970168,1.7971969,0.0,1.0610101,1.4770696,1.205398,1.377774,1.6190264,1.1294718
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.558792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9003382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6887465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6322514,0.0,0.0
TCEA3,0.0,0.0,0.0,0.0,0.0,0.0,0.4880089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,4.411357,4.2294855,0.0,3.6147006,0.0,0.0,0.0,3.3986933,3.8695679,3.9019227,2.9678564,3.851911,3.6096208,3.99327,4.1384726,4.172628,4.0264406
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65571874,0.0,0.0
SRRM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607767,0.0,0.0,0.0,0.0,0.0,0.8722063,0.91365886,0.0
CLIC4,0.0,0.0,0.0,0.0,0.0,1.3180096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNX3,0.0,0.0,0.0,1.590821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6773982,0.0,0.0,0.0,0.0,0.0,0.7676703,0.78802127,0.0
RSRP1,1.0052769,0.0,0.88254064,1.433137,1.2134833,0.0,0.8335569,0.0,1.0375893,0.0,0.0,1.0013888,1.4710987,1.0584226,0.75833595,0.94838136,1.0420527
TMEM50A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8884903,0.0,0.0,0.0,0.0,0.0,0.6516895,0.0,0.9226563
MACO1,0.0,0.0,0.0,0.0,0.0,0.0,0.7676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAN1C1,0.0,0.0,0.0,0.0,1.2092837,0.0,1.0362092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,1.5073916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6457653
SH3BGRL3,1.9984417,2.5168512,0.0,2.8324606,0.0,0.0,0.0,2.1094556,2.2793093,3.0919976,3.0294108,1.5126121,1.760777,2.6899912,2.2739394,2.8747172,2.255088
CD52,3.269325,0.0,0.0,1.6651236,0.0,0.0,0.0,0.0,1.2585368,2.8681488,0.0,0.72958964,0.0,2.390654,1.6312613,2.2975988,1.7271916
HMGN2,1.1746892,0.0,0.0,0.0,0.0,0.0,0.0,1.1491168,1.445137,1.4984248,0.0,0.9352099,0.0,0.0,1.1780496,1.2686111,1.4094207
ARID1A,0.0,0.0,0.0,0.0,0.0,0.0,0.56517917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,1.8796071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3567741,0.0,0.890424,0.0,0.0,0.0,0.0,0.8832474,0.9374723,0.9630221
FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3930825,0.0,0.0,0.0,0.0,0.0,1.0418746,0.0
THEMIS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98934585,1.084951,0.0,0.0,0.0,0.0,0.0,0.669724,1.0363266,1.1418071
DNAJC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62187135,0.0,0.0
ATP5IF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3546014,1.3824444,0.0,0.98477864,0.8318311,1.0868211
PHACTR4,0.0,0.0,0.0,0.0,0.0,0.0,1.3128159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41,0.0,0.0,0.0,0.0,0.0,0.0,1.2497799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF4,0.0,0.0,0.0,0.0,1.2379642,0.0,1.2004465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,2.4841163,1.8612592,0.0,1.6043375,0.0,0.0,0.0,2.4016614,1.2229581,2.4849982,2.554308,1.1965191,1.3314896,1.7688001,1.5617087,2.142408,1.6851379
PUM1,0.0,0.0,1.1821628,0.0,0.0,0.0,1.2732229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0436735,0.0,0.0,0.0,0.0,0.0,1.1785688,0.7782137,0.0
