software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,B cell,81,0.2658486707566462,0.2549019607843137,0.3209876543209876,10403,76,55,26,2,"['JCHAIN', 'HLA-DPB1']","['ENSG00000169508', 'ENSG00000132465', 'ENSG00000148303', 'ENSG00000090104', 'ENSG00000223865', 'ENSG00000164587', 'ENSG00000231389', 'ENSG00000109475', 'ENSG00000198755', 'ENSG00000169442']",0.3329960107803345
4.1,author_cell_type,Mast cell,10,0.9523809523809524,1.0,0.8,10550,0,2,8,2,"['TPSB2', 'CMA1']","['ENSG00000197253', 'ENSG00000163751', 'ENSG00000172236', 'ENSG00000092009', 'ENSG00000149534', 'ENSG00000100448', 'ENSG00000042493', 'ENSG00000163106', 'ENSG00000164120', 'ENSG00000263961']",1.0
4.1,author_cell_type,T cell,922,0.4726118904475618,0.5463320463320464,0.306941431670282,9403,235,639,283,1,['GZMA'],"['ENSG00000145649', 'ENSG00000111796', 'ENSG00000110848', 'ENSG00000008517', 'ENSG00000105374', 'ENSG00000271503', 'ENSG00000185885', 'ENSG00000164032', 'ENSG00000198668', 'ENSG00000169442']",1.0
4.1,author_cell_type,Sinusoidal endothelial cell,3847,0.6759759982220905,0.756319933692499,0.4743956329607486,6125,588,2022,1825,1,['FCN3'],"['ENSG00000142748', 'ENSG00000271503', 'ENSG00000185201', 'ENSG00000118680', 'ENSG00000204592', 'ENSG00000136156']",1.0
4.1,author_cell_type,Neutrophil,364,0.8457095709570958,0.9669811320754716,0.5631868131868132,10189,7,159,205,1,['DEFA3'],"['ENSG00000143546', 'ENSG00000239839', 'ENSG00000164821', 'ENSG00000163993', 'ENSG00000163220', 'ENSG00000122862', 'ENSG00000163563', 'ENSG00000132965', 'ENSG00000121552', 'ENSG00000272398']",1.0
4.1,author_cell_type,B cell (Plasmocyte),707,0.8092848180677541,0.9192399049881236,0.5473833097595474,9819,34,320,387,1,['ENSG00000211592'],"['ENSG00000170476', 'ENSG00000211592', 'ENSG00000211896', 'ENSG00000180879', 'ENSG00000166562', 'ENSG00000051108', 'ENSG00000132465', 'ENSG00000113387']",1.0
4.1,author_cell_type,Erythroid progenitor cell (RP high),20,0.7692307692307693,1.0,0.4,10540,0,12,8,1,['HBB'],"['ENSG00000169877', 'ENSG00000244734', 'ENSG00000223609', 'ENSG00000257698', 'ENSG00000159199', 'ENSG00000090013', 'ENSG00000167815', 'ENSG00000143158', 'ENSG00000140988', 'ENSG00000083845']",1.0
4.1,author_cell_type,Goblet cell,7,0.925925925925926,1.0,0.7142857142857143,10553,0,2,5,2,"['TFF1', 'AGR2']","['ENSG00000160181', 'ENSG00000160182', 'ENSG00000106541', 'ENSG00000160180', 'ENSG00000100079', 'ENSG00000185499', 'ENSG00000161055', 'ENSG00000179674', 'ENSG00000164266', 'ENSG00000173467']",1.0
4.1,author_cell_type,Enterocyte progenitor,6,0.5555555555555556,0.6666666666666666,0.3333333333333333,10553,1,4,2,3,"['MMP7', 'ACAT2', 'NDUFA2']","['ENSG00000137673', 'ENSG00000118418', 'ENSG00000162961', 'ENSG00000120437', 'ENSG00000066468', 'ENSG00000131495', 'ENSG00000155438', 'ENSG00000103363', 'ENSG00000163739', 'ENSG00000135480']",1.0
4.1,author_cell_type,Smooth muscle cell,15,0.873015873015873,0.9166666666666666,0.7333333333333333,10544,1,4,11,2,"['MYL9', 'TAGLN']","['ENSG00000107796', 'ENSG00000101335', 'ENSG00000149591', 'ENSG00000111404', 'ENSG00000198467', 'ENSG00000099860', 'ENSG00000152583', 'ENSG00000143198', 'ENSG00000148671', 'ENSG00000125868']",1.0
