author_cell_type,mean,std,median,count,q1,q3,f_score
Goblet cell,0.9789426492917485,0.008101915486272739,0.9818615447586668,7,0.9736541475048357,0.9851417467408214,0.925925925925926
Enterocyte progenitor,0.9642854794180487,0.016679982062024652,0.9705204870857655,6,0.9690389339155447,0.9715750501308037,0.5555555555555556
Mast cell,0.929481288947047,0.022534109732995498,0.931867269120422,10,0.9225187850934606,0.9466901759125806,0.9523809523809524
Macrophage,0.7163339479214925,0.324120497875401,0.8129616812967353,2018,0.7717019840219406,0.8312965247333237,0.9253929599291564
B cell (Plasmocyte),0.7323902910257567,0.30218647513181957,0.795882184558705,707,0.7677975428267991,0.8109704344839451,0.8092848180677541
Erythroid progenitor cell (RP high),0.7228312796619314,0.10167901396770108,0.7500098691758093,20,0.6866766600946841,0.7968255404567903,0.7692307692307693
Neutrophil,0.5384711931438253,0.28872379903055284,0.6215323095542903,364,0.5100092858704071,0.6729329367233706,0.8457095709570958
Smooth muscle cell,0.6074660612968799,0.07360310970311779,0.610745161439274,15,0.5406312597568177,0.6696296936897704,0.873015873015873
Endothelial cell,0.40946149678678456,0.14596731193849674,0.4524586292638456,15,0.4044272080645572,0.492338220366177,0.4838709677419355
T cell,0.37050053588015164,0.2343015799181263,0.44441129193539924,922,0.31627900245361146,0.5182769940203835,0.4726118904475618
Monocyte,0.3604317897237397,0.21855489792377272,0.4355520687392696,583,0.2750645779690703,0.5176884361972021,0.4701627486437613
Sinusoidal endothelial cell,0.16781669852211462,0.3452476420377992,0.3218399218527932,3847,0.00275817701012235,0.4270085918709703,0.6759759982220905
Dendritic cell,0.2171782625807436,0.2256207098058854,0.2903740701525912,1816,0.14375241754526896,0.37750626318731856,0.7297163588390502
Antigen presenting cell (RPS high),0.016236800814278547,0.2568458526152826,0.0986056610012398,33,-0.1701798011900201,0.2231466111713659,0.2247191011235955
Endothelial cell (APC),-0.05417096533035898,0.21492445106411973,-0.0086148938720873,116,-0.17609661359269665,0.12053546366603932,0.4094827586206896
B cell,-0.6076395270430014,0.14213020755472255,-0.5820074940490126,81,-0.673722029459533,-0.5040505200405244,0.2658486707566462
