clusterName,gene
cd4_treg,FOXP3
cd4_treg,IKZF2
cd8_naive,LEF1
cd8_naive,C16orf54
cd8_cm,THOC3
cd8_cm,LEF1
cd8_cm,CD8B
cd4_cm,MAL
cd4_cm,LEF1
cd4_naive,ADTRP
cd4_naive,TSHZ2
nk_ilc_precursor,GNLY
nk_ilc_precursor,CDKN2D
nk_ilc_precursor,SPON2
ilc1,ZNF683
cd4_temra,CD320
cd4_temra,FGFBP2
cd4_temra,C12orf75
cd4_temra,CLEC2D
cd8_tem,KLRG1
cd8_tem,CD8B
cd8_tem,GZMB
cd3_gd,LAG3
cd3_gd,KLRC2
cd8_temra,CMC1
cd8_temra,GZMK
cd8_temra,CD8A
cd8_trm,DUSP4
cd8_trm,CD8A
cd8_mait,ENSG00000256553
cd8_mait,CD160
cd4_trm,TTC39C
cd4_trm,PBXIP1
cd4_trm,CD5
cd4_tem,FLT3LG
cd4_tem,MDFIC
cd4_tem,PTBP3
cd4_tem,LAT
progenitor,NPR3
pdc,VASH2
dc1,CLEC9A
dc2,CLEC10A
dc2,PLD4
monocyte_nonclassical,PELATON
monocyte_nonclassical,FCGR3A
macrophage,CD163
macrophage,HLA-DQA1
monocyte_classical,S100A12
monocyte_classical,VCAN
ilc3,JMY
nk_cd56br,CD160
nk_cd56br,KLRC1
nk_cd56br,XCL1
nk_cd56dim,FGFBP2
nk_cd56dim,SPON2
