clusterName,NSForest_markers,f_score
cd4_treg,"['ENSG00000049768', 'ENSG00000030419']",0.7291666666666666
cd8_naive,"['ENSG00000138795', 'ENSG00000185905']",0.3571428571428571
cd8_cm,"['ENSG00000051596', 'ENSG00000138795', 'ENSG00000172116']",0.379746835443038
cd4_cm,"['ENSG00000172005', 'ENSG00000138795']",0.5815508021390374
cd4_naive,"['ENSG00000111863', 'ENSG00000182463']",0.4705882352941176
nk_ilc_precursor,"['ENSG00000115523', 'ENSG00000129355', 'ENSG00000159674']",0.1771117166212534
ilc1,['ENSG00000176083'],0.4545454545454545
cd4_temra,"['ENSG00000167775', 'ENSG00000137441', 'ENSG00000235162', 'ENSG00000069493']",0.3597122302158273
cd8_tem,"['ENSG00000139187', 'ENSG00000172116', 'ENSG00000100453']",0.2904761904761905
cd3_gd,"['ENSG00000089692', 'ENSG00000205809']",0.3643803585346843
cd8_temra,"['ENSG00000187118', 'ENSG00000113088', 'ENSG00000153563']",0.5034774720290294
cd8_trm,"['ENSG00000120875', 'ENSG00000153563']",0.609925788497217
cd8_mait,"['ENSG00000256553', 'ENSG00000117281']",0.7766470273165507
cd4_trm,"['ENSG00000168234', 'ENSG00000163346', 'ENSG00000110448']",0.209471766848816
cd4_tem,"['ENSG00000090554', 'ENSG00000135272', 'ENSG00000119314', 'ENSG00000213658']",0.2234636871508379
progenitor,['ENSG00000113389'],0.7258064516129032
pdc,['ENSG00000143494'],0.9090909090909092
dc1,['ENSG00000197992'],1.0
dc2,"['ENSG00000132514', 'ENSG00000166428']",0.7870370370370371
monocyte_nonclassical,"['ENSG00000224397', 'ENSG00000203747']",0.8551068883610451
macrophage,"['ENSG00000177575', 'ENSG00000196735']",0.4375
monocyte_classical,"['ENSG00000163221', 'ENSG00000038427']",0.9530095036958818
ilc3,['ENSG00000152409'],0.5555555555555556
nk_cd56br,"['ENSG00000117281', 'ENSG00000134545', 'ENSG00000143184']",0.6613924050632911
nk_cd56dim,"['ENSG00000137441', 'ENSG00000159674']",0.8742380494064806
