clusterName,NSForest_markers,f_score
Neutrophils,['FCGR3B'],0.9171989406449604
NK cells,"['IKZF3', 'MAB21L3', 'IFITM1']",0.3698979591836734
Macrophages,['FMN1'],0.6015143017386427
Central venous LSECs,"['STAB2', 'CRHBP']",0.8396902616655632
Stellate cells,"['ENSG00000249669', 'RBMS3-AS3']",0.7220108151411977
Fibroblasts,"['SGCZ', 'LRMDA']",0.7054176072234764
Cholangiocytes,"['BICC1', 'DCDC2']",0.8285737269728903
Pericentral hepatocytes,"['CYP3A4', 'FMO3', 'HLF', 'ADH4']",0.7006015826873385
Interzonal hepatocytes,"['HAL', 'SERPIND1', 'HRG', 'CRP', 'AHSG']",0.4568498452012384
Periportal hepatocytes,"['ORM1', 'NNMT']",0.5341186538800372
Portal endothelial cells,"['RSPO3', 'INMT']",0.6238532110091743
Periportal LSECs,"['MGP', 'CLEC14A']",0.7107438016528925
Immune mix,['ORM1'],0.1109120754976063
Non-inflammatory macrophages,"['CD5L', 'MARCO']",0.8868787020345094
Non-classical monocytes,"['FCN1', 'FCGR3A']",0.7340713407134072
Classical monocytes,"['VCAN', 'S100A12']",0.8228164912174256
Inflammatory macrophages,"['FCGR2A', 'C1QB']",0.5715341503972409
DC2,"['CD1C', 'PAK1', 'SLC38A1', 'PPA1']",0.3462761126248864
DC1,"['CLEC9A', 'WDFY4']",0.8848566308243727
Migratory DCs,"['CCL19', 'FSCN1']",0.6382978723404256
Plasma cells,"['TNFRSF17', 'POU2AF1']",0.7877625875291764
pDC,"['PLD4', 'MAP1A']",0.8019003743161531
B cells,"['BANK1', 'CD79A']",0.7878052070686632
CD4 T cells,"['C12orf57', 'IL7R', 'LDHB']",0.2908187790418202
MAIT cells,"['SPOCK2', 'MYBL1', 'GZMK']",0.496271342995694
Tem/Trm cytotoxic T cells,"['GZMK', 'GZMH', 'CD3D']",0.649289526241692
Tem/Temra cytotoxic T cells,"['FGFBP2', 'GZMH', 'CD3D']",0.7018989521326314
CD16+ NK cells,"['FGFBP2', 'GZMB', 'KLRF1']",0.7694664457708281
CD16- NK cells,"['CD160', 'CMC1']",0.6858311800172265
