clusterName,NSForest_markers,f_score,onTarget,precision,recall
beta_stress I,['ENSG00000102048'],0.5982905982905983,1.0,0.6508108108108108,0.4522915101427498
beta_stress II,['ENSG00000101255'],0.6942590120160214,1.0,0.7309236947791165,0.5782366957903098
beta_immature,"['ENSG00000103034', 'ENSG00000149218', 'ENSG00000148926']",0.3375430539609644,1.0,0.4447806354009077,0.1718293395675043
beta_MHC/autoantigen,['ENSG00000171155'],0.4369538077403246,1.0,0.6194690265486725,0.2005730659025787
beta_mature,"['ENSG00000129757', 'ENSG00000167244']",0.7402348600418632,0.8121052384376526,0.787804417594865,0.5962280325760823
beta_mtDNA deficient,"['ENSG00000176153', 'ENSG00000114023']",0.2051671732522796,0.3540824651718139,0.28125,0.0985401459854014
delta,"['ENSG00000176956', 'ENSG00000010278']",0.807109252483011,1.0,0.9251048532055124,0.5344409830391139
PP,"['ENSG00000108849', 'ENSG00000137267']",0.7610993657505285,0.7948207855224609,0.8181818181818182,0.5950413223140496
alpha_MHC II,"['ENSG00000072682', 'ENSG00000089356']",0.4022988505747126,0.4850694835186004,0.875,0.1272727272727272
alpha_mature,"['ENSG00000186493', 'ENSG00000178695']",0.6769077354100385,1.0,0.7451646628332462,0.4953953084274544
alpha_immature,"['ENSG00000109511', 'ENSG00000011422']",0.5192338135190755,1.0,0.6023875114784206,0.3345232024477307
alpha_stress II,"['ENSG00000085563', 'ENSG00000004799']",0.5228127712935275,0.4994233250617981,0.6518340348767288,0.2917900403768506
