clusterName,NSForest_markers,f_score
endothelial,['ENSG00000130300'],0.7896064581231079
immune_stellates,['ENSG00000162511'],0.7018498367791077
acinar_minor_mhcclassII,"['ENSG00000243955', 'ENSG00000008394']",0.4107142857142857
acinar,"['ENSG00000187021', 'ENSG00000158516', 'ENSG00000219073', 'ENSG00000170890']",0.9659255399224131
beta_major,['ENSG00000182759'],0.7154777545005859
beta_minor,"['ENSG00000106236', 'ENSG00000121351']",0.177001953125
delta,"['ENSG00000176956', 'ENSG00000138207']",0.7387914230019493
epsilon,['ENSG00000157017'],0.6357388316151202
pp,['ENSG00000108849'],0.978082191780822
hybrid,['ENSG00000108849'],0.7981968546637744
alpha,"['ENSG00000145321', 'ENSG00000126218']",0.8510289862983788
duct_major,['ENSG00000118785'],0.5511811023622047
duct_acinar_related,"['ENSG00000163347', 'ENSG00000106927']",0.657439446366782
stellates,"['ENSG00000164692', 'ENSG00000163359']",0.8253397282174261
