software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cell_label,endothelial,1016,0.7896064581231079,0.8493894165535957,0.6161417322834646,31196,111,390,626,1,['ENSG00000130300'],"['ENSG00000130300', 'ENSG00000149564', 'ENSG00000165949', 'ENSG00000196628', 'ENSG00000261371', 'ENSG00000118257', 'ENSG00000233429', 'ENSG00000148671', 'ENSG00000116016', 'ENSG00000023902']",1.0
4.1,cell_label,immune_stellates,195,0.7018498367791077,0.712707182320442,0.6615384615384615,32076,52,66,129,1,['ENSG00000162511'],"['ENSG00000162511', 'ENSG00000011600', 'ENSG00000158869', 'ENSG00000196154', 'ENSG00000090104', 'ENSG00000122862', 'ENSG00000148908', 'ENSG00000129226', 'ENSG00000142227', 'ENSG00000089327']",1.0
4.1,cell_label,acinar_minor_mhcclassII,144,0.4107142857142857,0.6764705882352942,0.1597222222222222,32168,11,121,23,2,"['ENSG00000243955', 'ENSG00000008394']","['ENSG00000243955', 'ENSG00000244067', 'ENSG00000196139', 'ENSG00000109814', 'ENSG00000008394', 'ENSG00000162366', 'ENSG00000166920', 'ENSG00000008517', 'ENSG00000115457', 'ENSG00000168528']",0.7590378522872925
4.1,cell_label,acinar,6978,0.9659255399224131,0.9683645334494267,0.9562912009171682,25127,218,305,6673,4,"['ENSG00000187021', 'ENSG00000158516', 'ENSG00000219073', 'ENSG00000170890']","['ENSG00000167748', 'ENSG00000187021', 'ENSG00000158516', 'ENSG00000175535', 'ENSG00000219073', 'ENSG00000170890', 'ENSG00000091704', 'ENSG00000153002', 'ENSG00000162438', 'ENSG00000142789']",0.529217004776001
4.1,cell_label,beta_major,7287,0.7154777545005859,0.7721785782716996,0.5530396596679017,23847,1189,3257,4030,1,['ENSG00000182759'],"['ENSG00000182759', 'ENSG00000187634', 'ENSG00000145642', 'ENSG00000131094', 'ENSG00000141433', 'ENSG00000106236', 'ENSG00000214548', 'ENSG00000121351', 'ENSG00000138796', 'ENSG00000175426']",1.0
4.1,cell_label,beta_minor,1372,0.177001953125,0.1593990472700623,0.3170553935860058,28657,2294,937,435,2,"['ENSG00000106236', 'ENSG00000121351']","['ENSG00000106236', 'ENSG00000164756', 'ENSG00000214548', 'ENSG00000121351', 'ENSG00000006071', 'ENSG00000138796', 'ENSG00000132639', 'ENSG00000138207', 'ENSG00000136750', 'ENSG00000007372']",0.3989868462085724
4.1,cell_label,delta,957,0.7387914230019493,0.9427860696517412,0.3960292580982236,31343,23,578,379,2,"['ENSG00000176956', 'ENSG00000138207']","['ENSG00000176956', 'ENSG00000016082', 'ENSG00000159713', 'ENSG00000182985', 'ENSG00000138207', 'ENSG00000137642', 'ENSG00000183036', 'ENSG00000175426', 'ENSG00000135549', 'ENSG00000136750']",0.7787781953811646
4.1,cell_label,epsilon,152,0.6357388316151202,0.5849802371541502,0.9736842105263158,32066,105,4,148,1,['ENSG00000157017'],['ENSG00000157017'],1.0
4.1,cell_label,pp,373,0.978082191780822,0.9834710743801652,0.9571045576407506,31944,6,16,357,1,['ENSG00000108849'],"['ENSG00000108849', 'ENSG00000130643', 'ENSG00000271869', 'ENSG00000158747', 'ENSG00000124939', 'ENSG00000077782', 'ENSG00000242265', 'ENSG00000105290', 'ENSG00000150961', 'ENSG00000134138']",0.7592248320579529
4.1,cell_label,hybrid,2564,0.7981968546637744,0.7728913685592386,0.9184867394695788,29067,692,209,2355,1,['ENSG00000108849'],"['ENSG00000214756', 'ENSG00000271869', 'ENSG00000247516', 'ENSG00000108849', 'ENSG00000167671', 'ENSG00000125144', 'ENSG00000186480', 'ENSG00000266402', 'ENSG00000134294', 'ENSG00000170835']",0.2407752275466919
4.1,cell_label,alpha,8826,0.8510289862983788,0.8968790450165396,0.7065488329934285,22780,717,2590,6236,2,"['ENSG00000145321', 'ENSG00000126218']","['ENSG00000145321', 'ENSG00000126218', 'ENSG00000169903', 'ENSG00000186493', 'ENSG00000095932', 'ENSG00000170561', 'ENSG00000091583', 'ENSG00000089356', 'ENSG00000002933', 'ENSG00000164687']",1.0
4.1,cell_label,duct_major,335,0.5511811023622047,0.6237623762376238,0.3761194029850746,31912,76,209,126,1,['ENSG00000118785'],"['ENSG00000108691', 'ENSG00000124107', 'ENSG00000171747', 'ENSG00000001626', 'ENSG00000127324', 'ENSG00000118785', 'ENSG00000137673', 'ENSG00000171345', 'ENSG00000196975', 'ENSG00000138772']",0.751107931137085
4.1,cell_label,duct_acinar_related,1522,0.657439446366782,0.7434782608695653,0.4494086727989487,30565,236,838,684,2,"['ENSG00000163347', 'ENSG00000106927']","['ENSG00000052344', 'ENSG00000163347', 'ENSG00000106927', 'ENSG00000141934', 'ENSG00000105825', 'ENSG00000189334', 'ENSG00000171345', 'ENSG00000080493', 'ENSG00000137673', 'ENSG00000138772']",0.5208930373191833
4.1,cell_label,stellates,602,0.8253397282174261,0.8694736842105263,0.686046511627907,31659,62,189,413,2,"['ENSG00000164692', 'ENSG00000163359']","['ENSG00000139329', 'ENSG00000164692', 'ENSG00000163359', 'ENSG00000106624', 'ENSG00000108821', 'ENSG00000145423', 'ENSG00000168542', 'ENSG00000182326', 'ENSG00000116132', 'ENSG00000011465']",1.0
