clusterName,NSForest_markers,f_score,onTarget,precision,recall
endothelial,['PLVAP'],0.7896064581231079,1.0,0.8493894165535957,0.6161417322834646
immune_stellates,['LAPTM5'],0.7018498367791077,1.0,0.712707182320442,0.6615384615384615
acinar_minor_mhcclassII,"['GSTA1', 'MGST1']",0.4107142857142857,0.7590378522872925,0.6764705882352942,0.1597222222222222
acinar,"['PNLIPRP1', 'CPA2', 'CELA3B', 'PLA2G1B']",0.9659255399224131,0.529217004776001,0.9683645334494267,0.9562912009171682
beta_major,['MAFA'],0.7154777545005859,1.0,0.7721785782716996,0.5530396596679017
beta_minor,"['NPTX2', 'IAPP']",0.177001953125,0.3989868462085724,0.1593990472700623,0.3170553935860058
delta,"['LY6H', 'RBP4']",0.7387914230019493,0.7787781953811646,0.9427860696517412,0.3960292580982236
epsilon,['GHRL'],0.6357388316151202,1.0,0.5849802371541502,0.9736842105263158
pp,['PPY'],0.978082191780822,0.7592248320579529,0.9834710743801652,0.9571045576407506
hybrid,['PPY'],0.7981968546637744,0.2407752275466919,0.7728913685592386,0.9184867394695788
alpha,"['GC', 'F10']",0.8510289862983788,1.0,0.8968790450165396,0.7065488329934285
duct_major,['SPP1'],0.5511811023622047,0.751107931137085,0.6237623762376238,0.3761194029850746
duct_acinar_related,"['CLDN1', 'AMBP']",0.657439446366782,0.5208930373191833,0.7434782608695653,0.4494086727989487
stellates,"['COL1A2', 'COL6A3']",0.8253397282174261,1.0,0.8694736842105263,0.686046511627907
