,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
SAMD11,0.6363636363636364,0.0,0.0,0.0,0.0,0.6707118803804571,0.6408019282601096,0.7218529852953824,0.6946375857700001,0.0,0.0,0.0
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.9447724060578779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091
SDF4,0.26163486459038476,0.43299814787777985,0.22713481838052924,0.23138802159916272,0.21623642336238513,0.4085307771509344,0.18181818181818182,0.20511274446140637,0.0,0.0,0.18863664432005448,0.23371284116398205
UBE2J2,0.0,0.0,0.9169631112705577,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.06974993510679765,0.0039396827871149235,0.18326159498908304,0.1404678929935802,0.1495436429977417,0.01486538215117021,0.08157729018818248,0.08560895919799805,0.1450545625253157,0.0,0.03471306779167869,0.11350359699942848
MRPL20,0.18063480203801935,0.0,0.23457631197842685,0.22438361969861118,0.17481536756862293,0.13528337261893533,0.2103276794606989,0.21880808743563565,0.3203316168351607,0.09090909090909091,0.13868564367294312,0.23075245185331864
ANKRD65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VWA1,0.6822791424664584,0.8113456043330106,0.6363636363636364,0.6965175271034241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742949431592767
SSU72,0.14667514779350974,0.0,0.18903058767318726,0.20474298975684427,0.13488036394119263,0.09090909090909091,0.1259868307547136,0.1449755159291354,0.17807219245217062,0.17043126713145862,0.10294162685220892,0.16166144067590887
GNB1,0.47186247327110986,0.0,0.5127075097777627,0.41899934681979095,0.44435161894018,0.0,0.3920269825241782,0.39738689227537677,0.0,0.0,0.36363636363636365,0.3988806767897172
FAAP20,0.3065628138455478,0.0,0.237342124635523,0.29028360410170123,0.19836226376620206,0.0,0.20629922368309714,0.2774098136208274,0.34025748751380225,0.36316984350031073,0.18181818181818182,0.2189551591873169
RER1,0.0,0.0,0.4860979426990856,0.4265580719167536,0.5211812853813171,0.5650325580076738,0.37751092694022437,0.37890479239550506,0.0,0.0,0.36363636363636365,0.43566109375520184
RPL22,0.046861800280484284,0.0,0.057749184695157135,0.08312537995251743,0.056163787841796875,0.011175052686171099,0.07355353507128629,0.08794054659930142,0.18904165788130325,0.2529768997972662,0.10743496634743431,0.06366695057262074
CAMTA1,0.5062253041700884,0.0,0.3885458165949041,0.47996957193721423,0.38124107772653754,0.0,0.36363636363636365,0.38107875802300195,0.0,0.0,0.385773859240792,0.427090200510892
