clusterName,NSForest_markers,f_score,onTarget,precision,recall
MUC5B+ ductal cells,"['PIGR', 'PCSK5']",0.3571428571428571,1.0,0.5625,0.1451612903225806
Ductal cells,"['CFTR', 'SLC4A4']",0.8169488217787969,1.0,0.926332288401254,0.5548682829844811
Acinar-mix,"['PGGHG', 'LINGO1']",0.6078162856841883,1.0,0.7617161716171618,0.3361491406932712
Secretory acinar cells,['SYCN'],0.7705701497532,1.0,0.7946616338635751,0.6872318597276628
Stressed beta cells,"['DDIT3', 'PPP1R15A', 'GNL3']",0.6043085696182481,0.7305777668952942,0.8143009605122732,0.2974658869395711
Beta cells,"['SAMD11', 'HOPX']",0.789965074864276,0.7922886610031128,0.8452502081213579,0.6261477319446348
Delta cells,"['HHEX', 'AKAP12']",0.670832472629622,1.0,0.8631229235880399,0.3547241944292736
Alpha cells,['IRX2'],0.8333869307949575,1.0,0.9286034220191705,0.5909920182440137
Gamma cells,['PPY'],0.8376024590163934,1.0,0.8094059405940595,0.9732142857142856
Endothelial cells,"['PLVAP', 'FLT1']",0.719682659614658,1.0,0.9560853199498118,0.3618233618233618
Quiescent stellate cells,['ACTA2'],0.4661016949152542,1.0,0.6226415094339622,0.2323943661971831
Activated stellate cells,"['COL6A3', 'COL6A1']",0.6628710858072387,1.0,0.9144460028050492,0.3155856727976767
Idling acinar cells,['CHRM3'],0.5942796610169492,0.4176035225391388,0.633349640612652,0.476662512744987
Macrophages,"['ZEB2', 'CD74']",0.4469273743016759,1.0,0.9302325581395348,0.1451905626134301
