Curated_annotation,mean,std,median,count,q1,q3,f_score
Acinar-mix,0.7026195486467813,0.1398650478089414,0.74736196,3433,0.6970624,0.77268344,0.6078162856841883
Quiescent stellate cells,0.673256641802817,0.11870289483670446,0.719513,142,0.626674725,0.754456405,0.4661016949152542
MUC5B+ ductal cells,0.6290336533064516,0.14447698356018987,0.690404745,62,0.576075835,0.72178298,0.3571428571428571
Macrophages,0.42344623496157896,0.25887167746610873,0.5406487,551,0.36739767,0.589983975,0.4469273743016759
Stressed beta cells,0.39598029930042883,0.1908649184133457,0.4449641,2565,0.28305072,0.5505329,0.6043085696182481
Idling acinar cells,0.3338873744078434,0.28490408902092346,0.43047831999999997,35308,0.25813105000000003,0.5372758,0.5942796610169492
Delta cells,0.20343182586112507,0.3072775188220561,0.348762425,3662,0.007231739775,0.44334800750000003,0.670832472629622
Alpha cells,0.18188696906996682,0.3037089889601901,0.29853413500000003,17540,-0.0020493932750000003,0.42541061,0.8333869307949575
Gamma cells,0.14200860385119046,0.2921116998234232,0.2815982,336,0.060346365,0.36502828750000005,0.8376024590163934
Endothelial cells,0.05748670953053182,0.27809693004243174,0.15891458,2106,-0.23351280500000002,0.302193135,0.719682659614658
Beta cells,-0.11080965017561487,0.34083967755379885,-0.040794422999999996,14594,-0.422770295,0.2028772025,0.789965074864276
Ductal cells,-0.13424067808142934,0.276412484051437,-0.06390335,18107,-0.355059895,0.11689574999999999,0.8169488217787969
Secretory acinar cells,-0.10040384203419926,0.2791749155155304,-0.084651987,21444,-0.341593545,0.1493664025,0.7705701497532
Activated stellate cells,-0.3324009602095837,0.1649086563095665,-0.29845385,2066,-0.423372025,-0.21018976,0.6628710858072387
