clusterName,gene
4_SMG mucous,ENSG00000078898
4_SMG duct,ENSG00000137673
Unknown,ENSG00000230937
Unknown,ENSG00000187193
Unknown,ENSG00000128422
4_Basal resting,ENSG00000196344
4_Basal resting,ENSG00000171346
4_Basal resting,ENSG00000196754
4_Suprabasal,ENSG00000206073
4_Suprabasal,ENSG00000187193
4_Tuft,ENSG00000134986
4_Tuft,ENSG00000147488
4_Tuft,ENSG00000117632
4_EC venous systemic,ENSG00000124785
4_EC venous systemic,ENSG00000130300
4_EC venous systemic,ENSG00000213088
3_EC arterial,ENSG00000164736
3_EC arterial,ENSG00000184113
3_Fibromyocytes,ENSG00000163017
3_Fibromyocytes,ENSG00000175084
2_Smooth muscle,ENSG00000111404
2_Smooth muscle,ENSG00000185633
,ENSG00000171223
4_CD8 T cells,ENSG00000277734
4_CD4 T cells,ENSG00000227507
4_CD4 T cells,ENSG00000008517
4_CD4 T cells,ENSG00000167286
4_B cells,ENSG00000153064
4_B cells,ENSG00000227507
4_DC2,ENSG00000179639
4_DC2,ENSG00000112799
4_DC2,ENSG00000204482
4_Classical monocytes,ENSG00000163221
4_Classical monocytes,ENSG00000188404
3_Mast cells,ENSG00000197253
4_Alveolar macrophages,ENSG00000159723
4_Alveolar macrophages,ENSG00000130208
Alveolar Mφ CCL3+,ENSG00000275385
Alveolar Mφ CCL3+,ENSG00000025434
Alveolar Mφ CCL3+,ENSG00000275302
Monocyte-derived Mφ,ENSG00000130208
Monocyte-derived Mφ,ENSG00000153071
Interstitial Mφ perivascular,ENSG00000124491
Interstitial Mφ perivascular,ENSG00000100600
4_Pericytes,ENSG00000131055
4_Pericytes,ENSG00000143248
4_Pericytes,ENSG00000131097
3_Lymphatic EC mature,ENSG00000167191
3_Lymphatic EC mature,ENSG00000172869
4_EC venous pulmonary,ENSG00000106991
4_EC venous pulmonary,ENSG00000240583
4_EC general capillary,ENSG00000168813
4_EC general capillary,ENSG00000162444
4_Alveolar fibroblasts,ENSG00000077943
4_Alveolar fibroblasts,ENSG00000185052
4_Alveolar fibroblasts,ENSG00000121440
4_Adventitial fibroblasts,ENSG00000106809
4_Adventitial fibroblasts,ENSG00000164530
4_Peribronchial fibroblasts,ENSG00000108821
4_Peribronchial fibroblasts,ENSG00000166482
SMG serous (bronchial),ENSG00000160678
SMG serous (bronchial),ENSG00000012223
SMG serous (nasal),ENSG00000178776
SMG serous (nasal),ENSG00000109205
SMG serous (nasal),ENSG00000088992
4_Plasma cells,ENSG00000170476
4_Plasma cells,ENSG00000211897
Goblet (bronchial),ENSG00000091137
Goblet (bronchial),ENSG00000229807
Goblet (bronchial),ENSG00000162366
Club (non-nasal),ENSG00000153446
Club (non-nasal),ENSG00000163993
Goblet (nasal),ENSG00000197353
Goblet (nasal),ENSG00000147676
Club (nasal),ENSG00000057149
Goblet (subsegmental),ENSG00000153446
Goblet (subsegmental),ENSG00000197353
Multiciliated (nasal),ENSG00000135976
Multiciliated (non-nasal),ENSG00000104237
Multiciliated (non-nasal),ENSG00000007174
4_Deuterosomal,ENSG00000164287
4_Deuterosomal,ENSG00000139445
4_Deuterosomal,ENSG00000249082
4_Ionocyte,ENSG00000176009
4_Neuroendocrine,ENSG00000233041
4_Neuroendocrine,ENSG00000102109
