clusterName,NSForest_markers,f_score
4_SMG mucous,['ENSG00000078898'],0.8316151202749141
4_SMG duct,['ENSG00000137673'],0.3409090909090909
Unknown,"['ENSG00000230937', 'ENSG00000187193', 'ENSG00000128422']",0.1296566837107377
4_Basal resting,"['ENSG00000196344', 'ENSG00000171346', 'ENSG00000196754']",0.6140276120674961
4_Suprabasal,"['ENSG00000206073', 'ENSG00000187193']",0.6073281452658884
4_Tuft,"['ENSG00000134986', 'ENSG00000147488', 'ENSG00000117632']",0.7142857142857143
4_EC venous systemic,"['ENSG00000124785', 'ENSG00000130300', 'ENSG00000213088']",0.4875100725221595
3_EC arterial,"['ENSG00000164736', 'ENSG00000184113']",0.4017857142857143
3_Fibromyocytes,"['ENSG00000163017', 'ENSG00000175084']",0.7673860911270983
2_Smooth muscle,"['ENSG00000111404', 'ENSG00000185633']",0.5043859649122807
,['ENSG00000171223'],0.8106254519576221
4_CD8 T cells,['ENSG00000277734'],0.3515028018339277
4_CD4 T cells,"['ENSG00000227507', 'ENSG00000008517', 'ENSG00000167286']",0.202020202020202
4_B cells,"['ENSG00000153064', 'ENSG00000227507']",0.4166666666666667
4_DC2,"['ENSG00000179639', 'ENSG00000112799', 'ENSG00000204482']",0.4545454545454545
4_Classical monocytes,"['ENSG00000163221', 'ENSG00000188404']",0.5263157894736842
3_Mast cells,['ENSG00000197253'],0.569620253164557
4_Alveolar macrophages,"['ENSG00000159723', 'ENSG00000130208']",0.7894736842105263
Alveolar Mφ CCL3+,"['ENSG00000275385', 'ENSG00000025434', 'ENSG00000275302']",0.7894736842105263
Monocyte-derived Mφ,"['ENSG00000130208', 'ENSG00000153071']",0.25
Interstitial Mφ perivascular,"['ENSG00000124491', 'ENSG00000100600']",0.2752293577981651
4_Pericytes,"['ENSG00000131055', 'ENSG00000143248', 'ENSG00000131097']",0.5769230769230769
3_Lymphatic EC mature,"['ENSG00000167191', 'ENSG00000172869']",0.7142857142857143
4_EC venous pulmonary,"['ENSG00000106991', 'ENSG00000240583']",0.4347826086956521
4_EC general capillary,"['ENSG00000168813', 'ENSG00000162444']",0.7142857142857143
4_Alveolar fibroblasts,"['ENSG00000077943', 'ENSG00000185052', 'ENSG00000121440']",0.6666666666666666
4_Adventitial fibroblasts,"['ENSG00000106809', 'ENSG00000164530']",0.5
4_Peribronchial fibroblasts,"['ENSG00000108821', 'ENSG00000166482']",0.6169871794871795
SMG serous (bronchial),"['ENSG00000160678', 'ENSG00000012223']",0.9076809453471196
SMG serous (nasal),"['ENSG00000178776', 'ENSG00000109205', 'ENSG00000088992']",0.7692307692307693
4_Plasma cells,"['ENSG00000170476', 'ENSG00000211897']",0.4533678756476684
Goblet (bronchial),"['ENSG00000091137', 'ENSG00000229807', 'ENSG00000162366']",0.5959475566150179
Club (non-nasal),"['ENSG00000153446', 'ENSG00000163993']",0.6442039106145251
Goblet (nasal),"['ENSG00000197353', 'ENSG00000147676']",0.3129445234708393
Club (nasal),['ENSG00000057149'],0.0867052023121387
Goblet (subsegmental),"['ENSG00000153446', 'ENSG00000197353']",0.1851851851851851
Multiciliated (nasal),['ENSG00000135976'],0.3125
Multiciliated (non-nasal),"['ENSG00000104237', 'ENSG00000007174']",0.9487216317150244
4_Deuterosomal,"['ENSG00000164287', 'ENSG00000139445', 'ENSG00000249082']",0.6666666666666666
4_Ionocyte,['ENSG00000176009'],0.4651162790697674
4_Neuroendocrine,"['ENSG00000233041', 'ENSG00000102109']",0.9223300970873788
