cluster,count
Fibroblast,32421
Endothelial cell (vascular),21028
Myocyte (sk. muscle),20772
Epithelial cell (luminal),15956
Myocyte (smooth muscle),15680
Epithelial cell (basal),15594
Epithelial cell (alveolar type II),15103
Immune (DC/macrophage),12959
Epithelial cell (alveolar type I),7274
Myocyte (cardiac),7041
Immune (alveolar macrophage),5121
Pericyte/SMC,5083
Endothelial cell (lymphatic),4553
Epithelial cell (club),3669
Immune (T cell),3608
Epithelial cell (squamous),2771
"Myocyte (cardiac, cytoplasmic)",2585
Epithelial cell (suprabasal),2404
Adipocyte,2350
Epithelial cell (Hillock),1578
Schwann cell,1435
Epithelial cell (basal keratinocyte),1320
Myofibroblast,989
Myoepithelial (basal),950
Immune (mast cell),937
Epithelial cell (ciliated),896
"Myocyte (sk. muscle, cytoplasmic)",769
Immune (NK cell),507
Satellite cell,487
Mucous cell,457
Unknown,452
Epithelial cell (suprabasal keratinocyte),432
Sweat gland cell,300
Immune (B cell),284
Melanocyte,272
ICCs,237
Sebaceous gland cell,230
Epithelial cell (mature keratinocyte),195
Immune (DC),96
Myocyte (NMJ-rich),95
Neuroendocrine,91
Epithelial cell (cornified keratinocyte),72
Immune (Langerhans),48
Neuronal,25
