clusterName,NSForest_markers,f_score
Fibroblast,['ENSG00000136546'],0.8294753086419753
Pericyte/SMC,['ENSG00000107796'],0.5568445475638051
Endothelial cell (vascular),['ENSG00000127329'],0.8184651762682718
Endothelial cell (lymphatic),"['ENSG00000138722', 'ENSG00000205038']",0.8243243243243243
Immune (alveolar macrophage),"['ENSG00000018280', 'ENSG00000132170']",0.8979826536968709
Immune (DC/macrophage),['ENSG00000168214'],0.4726622381195707
Immune (mast cell),"['ENSG00000197253', 'ENSG00000157404']",0.8011049723756906
Immune (B cell),['ENSG00000116191'],0.4444444444444444
Immune (NK cell),['ENSG00000115523'],0.78125
Immune (T cell),"['ENSG00000172673', 'ENSG00000141293']",0.7249190938511327
Epithelial cell (ciliated),"['ENSG00000197826', 'ENSG00000133640']",0.8924010217113666
Epithelial cell (alveolar type II),"['ENSG00000168484', 'ENSG00000144331']",0.9374016043181648
Epithelial cell (club),"['ENSG00000058091', 'ENSG00000178568']",0.2933673469387755
Epithelial cell (basal),['ENSG00000064655'],0.2826086956521739
Epithelial cell (alveolar type I),"['ENSG00000176771', 'ENSG00000213853']",0.8963699799569446
