author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
AT2 cell,-0.07547649535159505,0.328011583943183,-0.05479086637874697,7401
Antigen presenting cell (RPS high),-0.15643253887631112,0.20157452269039947,-0.1799614281159906,6
B cell,-0.42166481427580166,0.20004849503889233,-0.39420049362588666,55
B cell (Plasmocyte),0.4720132647843006,0.23976725425208165,0.5362656856631413,493
Basal cell,0.32109896160528084,0.33602972034511325,0.4459299400417621,2388
CB CD34+,0.3040785943784176,0.23359033859606554,0.2413815100869363,9
Chondrocyte,0.6519272165784055,0.22455021810983636,0.7178758635920999,421
Dendritic cell,0.23345891876397246,0.2773191867284965,0.30395749985742226,819
Endothelial cell,0.4440832898949108,0.3353057426479795,0.6003584551709197,1229
Endothelial cell (APC),0.2084425850391535,0.322763275328126,0.30912647124569437,2573
Endothelial cell (endothelial to mesenchymal transition),-0.1697880117936097,0.20187096018443765,-0.17301603353303618,3681
Epithelial cell,0.22781628380785074,0.23853262741467135,0.31354145357950336,68
Fetal chondrocyte,0.3175495329423169,0.3565668859529355,0.5541910655761978,5
Fetal epithelial progenitor,0.008072833645332775,0.5494800711805694,0.3647288994170784,42
Fetal mesenchymal progenitor,0.3542573935002865,0.3826242284447681,0.49100676970835644,33
Fetal stromal cell,-0.6264821787222825,0.1521918382116525,-0.5567370978701989,8
Fibroblast,0.3402088335875746,0.2865431450152016,0.42042611913611067,16076
M2 Macrophage,0.6906313364888168,0.22002799857935051,0.7690478310275777,5421
Macrophage,-0.06099818096571184,0.2160503809482739,-0.0654242113295065,2229
Mast cell,0.7364500226331611,0.19773023683151672,0.811810530765625,679
Mesothelial cell,0.5640398180198889,0.17540990139990598,0.6282542992186874,2611
Monocyte,0.29746793516942693,0.2663838609146256,0.40764261734645174,537
Neutrophil,0.48946272772309735,0.20040972855624545,0.5507053827780217,1110
Neutrophil (RPS high),0.2878792244832406,0.32654719701826923,0.4648874022721095,5
Sinusoidal endothelial cell,0.37432867460265995,0.24961240897410256,0.4326878692018513,9
Smooth muscle cell,0.13230126887139051,0.31115565519083843,0.271705466632255,691
Stratified epithelial cell,0.6100084603233815,0.13425005397269904,0.6475290883428793,3603
Stromal cell,0.4103162381546043,0.2807198095395309,0.5031608110624399,381
T cell,0.5099843324622173,0.2481863567214231,0.6021149530870687,1079
Thyroid follicular cell,0.8629308901666217,0.031199082515903857,0.8673326953510692,5
