cluster,n_cells,percentage
Alveolar_Type1,764,1.34
Alveolar_Type2,4676,8.2
B_cells,1551,2.72
Blood_vessel,2694,4.72
Ciliated,466,0.82
DC_1,163,0.29
DC_2,1605,2.81
DC_activated,122,0.21
DC_Monocyte_Dividing,242,0.42
DC_plasmacytoid,46,0.08
Fibroblast,4623,8.11
Lymph_vessel,337,0.59
Macrophage_Dividing,94,0.16
Macrophage_MARCOneg,937,1.64
Macrophage_MARCOpos,4512,7.91
Mast_cells,2911,5.11
Monocyte,6067,10.64
Muscle_cells,839,1.47
NK,10418,18.27
NK_Dividing,130,0.23
Plasma_cells,287,0.5
T_CD4,7211,12.65
T_CD8_CytT,5755,10.09
T_cells_Dividing,88,0.15
T_regulatory,481,0.84
