cluster,count
AT2,6911
AT1,4939
CD4+ T cells,2711
Monocyte-derived macrophages,2030
Alveolar FB,1940
Alveolar macrophages,1645
Intermediate pathological FB,1246
Airway ciliated,1150
Airway mucous,1049
Airway goblet,1015
Adventitial FB,923
Plasma cells,880
CD8+ T cells,803
NK cells,727
Monocytes,652
Cycling NK/T cells,635
Activated B cells,623
Endothelial cells (general),612
Capillary endothelial cells,581
Mast cells,555
Dendritic cells,546
B cells,481
Arterial endothelial cells,413
Airway smooth muscle,398
Airway club,376
Other FB,334
Neuronal cells,331
ECM-high epithelial,331
Transitioning MDM,305
Tregs,216
Endothelial cells (other),208
Cycling epithelial,192
Airway basal,169
Pericytes,160
Pulmonary venous endothelial cells,149
Vascular smooth muscle,129
Pathological FB,120
Systemic venous endothelial cells,65
Inflamed endothelial cells,50
Tuft-like,41
Mesothelial FB,36
