manual_annotation_1,mean_silhouette,std_silhouette,median_silhouette,count
AT1,0.3254069816518239,0.24022947302714853,0.419944018489335,3498
AT2,0.4021749411649414,0.3093754737533837,0.529559211498418,21125
Adventitial FB,0.4595021013756667,0.30613198248087864,0.6104337214707812,1619
Alveolar FB,0.13466180238891834,0.16589257258677276,0.16459658604771132,134
Alveolar macrophage,0.3030301696098012,0.20473750430408197,0.34821601482047193,5504
Arteriole,-0.11404024344672009,0.24098217487128867,-0.05388603168486163,2496
B cells,-0.34330360730579407,0.14443659097970135,-0.31132486628642675,277
Basal,-0.27075265367027795,0.26045494037286027,-0.2311277849362431,179
CD4,0.03282767500367971,0.1670136941413577,0.041498778487795526,1927
CD8/NKT,-0.12689049694079477,0.39895516162519634,-0.11462409924594735,3621
Ciliated,0.4290935676710543,0.25271235785846924,0.5123463221491975,7030
Differentiating ciliated,-0.056964650845291176,0.25963075228061044,-0.006186881685247762,785
Inflamed,0.11929494504617637,0.31514623811130615,0.22903370734741937,51
Inflammatory monocyte,-0.012589291840789883,0.31075889775373466,0.04306196560194607,7006
Interstitial macrophage,0.07289575437303417,0.30136806330280613,0.1764788370964524,326
KRT5-/KRT17+,-0.01599186119078346,0.24902399813518306,0.012960191182542739,319
Lymphatic,0.564083032101841,0.2828661422088342,0.6585371603040722,1704
Mast,0.6262693915046578,0.208793311744735,0.6784269991182696,716
Mesothelial,0.6403154146976525,0.15990380591152162,0.679282080028117,163
Monocyte,0.28661393363934057,0.3046288435278273,0.3976234991487228,3639
Monocyte-derived macrophage,-0.21429520633230825,0.2734811049006583,-0.23781657558912495,23436
MyoFB,-0.4704297126216698,0.1447046441787874,-0.4411882068652765,137
MyoFB - Activated,-0.07549469404838695,0.26520131051185897,-0.017375209976381794,82
NK,0.377182935254492,0.24660794060645344,0.46150017027429824,1870
PLIN2+ FB,-0.23714705897440894,0.2484008161207205,-0.20133964140407434,132
PNEC,0.5559786435612315,0.3538656254080259,0.6745313010883391,37
Pericyte,0.20634533085828405,0.23654201474978967,0.3137464822061463,202
Plasma,0.5824706428448224,0.412101405512377,0.7311179008950313,390
Proliferating - Epi,-0.6217388526320354,0.12186105194478469,-0.6409275256359711,1105
Proliferating - Imm,-0.6244440653726416,0.1358927863928234,-0.641282664048848,948
SMC,0.07311597714897819,0.28571490115369447,0.19129196006350205,255
Secretory - SCGB1A1+/MUC5B+,0.10508903694720845,0.27109669759865473,0.18809537537590437,2168
Secretory - SCGB1A1+/SCGB3A2+,0.20631555174788332,0.3313009003728116,0.3078209774753303,948
Secretory - SCGB3A2+,-0.18518168671038,0.30110081937762023,-0.16277754224117497,680
Systemic venous,-0.05118714424971497,0.34415905963192756,0.03311213196958427,327
Transitional AT2,-0.38348739628096606,0.15169299393169194,-0.3941343918720658,755
Venule,-0.11003052180319689,0.24719967115580488,-0.06389253947551807,2439
aCap,-0.24012968169385274,0.24225303939324672,-0.20917348464990804,1898
cDC1,0.3463138328952996,0.18446557423855237,0.38871682061027507,83
cDC2,-0.1636101182268512,0.22053810813646774,-0.21893083169508765,643
gCap,0.552898996363713,0.21533256110335494,0.6466305773454663,905
moDC,0.029671574657414386,0.38551982026446424,0.1675387423558919,1120
pDC,0.37044665367833995,0.2714293257665849,0.48848481718114956,76
