clusterName,gene
KRT5-/KRT17+,ENSG00000171711
KRT5-/KRT17+,ENSG00000164171
KRT5-/KRT17+,ENSG00000124225
AT1,ENSG00000154065
AT1,ENSG00000204305
Mesothelial,ENSG00000172137
Mesothelial,ENSG00000116690
Adventitial FB,ENSG00000197614
Adventitial FB,ENSG00000163520
Alveolar FB,ENSG00000079931
Alveolar FB,ENSG00000140937
PLIN2+ FB,ENSG00000102802
PLIN2+ FB,ENSG00000131459
PLIN2+ FB,ENSG00000108691
MyoFB - Activated,ENSG00000164932
MyoFB - Activated,ENSG00000101825
MyoFB - Activated,ENSG00000078098
Pericyte,ENSG00000131097
Pericyte,ENSG00000185633
SMC,ENSG00000133392
SMC,ENSG00000198523
MyoFB,ENSG00000115461
MyoFB,ENSG00000000971
Ciliated,ENSG00000162004
Ciliated,ENSG00000004838
Differentiating ciliated,ENSG00000125999
Differentiating ciliated,ENSG00000163739
Differentiating ciliated,ENSG00000105519
Differentiating ciliated,ENSG00000179902
PNEC,ENSG00000188175
Basal,ENSG00000186081
Basal,ENSG00000196754
Secretory - SCGB1A1+/MUC5B+,ENSG00000125999
Secretory - SCGB1A1+/SCGB3A2+,ENSG00000164265
Secretory - SCGB1A1+/SCGB3A2+,ENSG00000167757
Proliferating - Epi,ENSG00000170312
Proliferating - Epi,ENSG00000151725
Secretory - SCGB3A2+,ENSG00000025423
Secretory - SCGB3A2+,ENSG00000161798
Secretory - SCGB3A2+,ENSG00000130513
Secretory - SCGB3A2+,ENSG00000164265
AT2,ENSG00000122852
Transitional AT2,ENSG00000175793
Transitional AT2,ENSG00000008517
CD8/NKT,ENSG00000153563
CD8/NKT,ENSG00000167286
CD8/NKT,ENSG00000271503
NK,ENSG00000198574
NK,ENSG00000180644
cDC1,ENSG00000172724
cDC1,ENSG00000102962
pDC,ENSG00000198178
pDC,ENSG00000239961
Plasma,ENSG00000048462
Monocyte,ENSG00000163221
Monocyte,ENSG00000143546
Inflammatory monocyte,ENSG00000104972
Inflammatory monocyte,ENSG00000131042
moDC,ENSG00000124491
moDC,ENSG00000171659
cDC2,ENSG00000158488
cDC2,ENSG00000179639
Proliferating - Imm,ENSG00000148773
Proliferating - Imm,ENSG00000106268
Lymphatic,ENSG00000137077
Systemic venous,ENSG00000130300
Systemic venous,ENSG00000276409
Systemic venous,ENSG00000162618
Systemic venous,ENSG00000213088
Venule,ENSG00000104368
Venule,ENSG00000213088
Arteriole,ENSG00000146674
Arteriole,ENSG00000168309
gCap,ENSG00000167434
gCap,ENSG00000142748
aCap,ENSG00000164120
Inflamed,ENSG00000108691
Inflamed,ENSG00000069399
Mast,ENSG00000163751
Mast,ENSG00000172236
B cells,ENSG00000156738
CD4,ENSG00000198851
CD4,ENSG00000107742
Interstitial macrophage,ENSG00000145107
Interstitial macrophage,ENSG00000164935
Monocyte-derived macrophage,ENSG00000019169
Monocyte-derived macrophage,ENSG00000102575
Alveolar macrophage,ENSG00000167588
Alveolar macrophage,ENSG00000122641
Alveolar macrophage,ENSG00000183019
