software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,manual_annotation_1,KRT5-/KRT17+,319,0.7348242811501597,0.8903225806451613,0.4326018808777429,102419,17,181,138,3,"['ENSG00000171711', 'ENSG00000164171', 'ENSG00000124225']","['ENSG00000171711', 'ENSG00000164171', 'ENSG00000107984', 'ENSG00000164266', 'ENSG00000124225', 'ENSG00000167772', 'ENSG00000073756', 'ENSG00000175505', 'ENSG00000258947', 'ENSG00000162366']",1.0
4.1,manual_annotation_1,AT1,3498,0.8237105465742879,0.90181205225453,0.6117781589479703,99024,233,1358,2140,2,"['ENSG00000154065', 'ENSG00000204305']","['ENSG00000182010', 'ENSG00000154065', 'ENSG00000053747', 'ENSG00000136155', 'ENSG00000204305', 'ENSG00000012171', 'ENSG00000086548', 'ENSG00000106537', 'ENSG00000013588', 'ENSG00000101335']",0.8328276826090852
4.1,manual_annotation_1,Mesothelial,163,0.8943781942078365,0.9905660377358492,0.6441717791411042,102591,1,58,105,2,"['ENSG00000172137', 'ENSG00000116690']","['ENSG00000179914', 'ENSG00000172137', 'ENSG00000257017', 'ENSG00000116690', 'ENSG00000105825', 'ENSG00000105509', 'ENSG00000106404', 'ENSG00000205038', 'ENSG00000243566', 'ENSG00000102854']",1.0
4.1,manual_annotation_1,Adventitial FB,1619,0.8847910675012688,0.9748369058713886,0.6460778258184064,101109,27,573,1046,2,"['ENSG00000197614', 'ENSG00000163520']","['ENSG00000197614', 'ENSG00000168079', 'ENSG00000164530', 'ENSG00000174348', 'ENSG00000145423', 'ENSG00000163520', 'ENSG00000167779', 'ENSG00000139329', 'ENSG00000087245', 'ENSG00000077942']",0.6715368859905726
4.1,manual_annotation_1,Alveolar FB,134,0.4568527918781725,0.5538461538461539,0.2686567164179104,102592,29,98,36,2,"['ENSG00000079931', 'ENSG00000140937']","['ENSG00000123689', 'ENSG00000079931', 'ENSG00000147257', 'ENSG00000140937', 'ENSG00000138080', 'ENSG00000078098', 'ENSG00000106366', 'ENSG00000163359', 'ENSG00000139329', 'ENSG00000108691']",0.7984517264207638
4.1,manual_annotation_1,PLIN2+ FB,132,0.4423076923076923,0.71875,0.1742424242424242,102614,9,109,23,3,"['ENSG00000102802', 'ENSG00000131459', 'ENSG00000108691']","['ENSG00000102802', 'ENSG00000205362', 'ENSG00000131459', 'ENSG00000136997', 'ENSG00000108691', 'ENSG00000108821', 'ENSG00000118849', 'ENSG00000115457', 'ENSG00000130203', 'ENSG00000175130']",0.4509429286903584
4.1,manual_annotation_1,MyoFB - Activated,82,0.6318681318681318,0.92,0.2804878048780488,102671,2,59,23,3,"['ENSG00000164932', 'ENSG00000101825', 'ENSG00000078098']","['ENSG00000164932', 'ENSG00000101825', 'ENSG00000134986', 'ENSG00000183098', 'ENSG00000078098', 'ENSG00000130635', 'ENSG00000204262', 'ENSG00000258947', 'ENSG00000120708', 'ENSG00000163359']",1.0
4.1,manual_annotation_1,Pericyte,202,0.812958435207824,0.8636363636363636,0.6584158415841584,102532,21,69,133,2,"['ENSG00000131097', 'ENSG00000185633']","['ENSG00000131097', 'ENSG00000050555', 'ENSG00000185633', 'ENSG00000183807', 'ENSG00000105894', 'ENSG00000130988', 'ENSG00000163909', 'ENSG00000137672', 'ENSG00000076641', 'ENSG00000131055']",1.0
4.1,manual_annotation_1,SMC,255,0.7713125845737483,0.9421487603305784,0.4470588235294118,102493,7,141,114,2,"['ENSG00000133392', 'ENSG00000198523']","['ENSG00000133392', 'ENSG00000163017', 'ENSG00000198523', 'ENSG00000175084', 'ENSG00000163431', 'ENSG00000130176', 'ENSG00000154556', 'ENSG00000076706', 'ENSG00000107796', 'ENSG00000167641']",1.0
4.1,manual_annotation_1,MyoFB,137,0.3557312252964427,0.6206896551724138,0.1313868613138686,102607,11,119,18,2,"['ENSG00000115461', 'ENSG00000000971']","['ENSG00000117859', 'ENSG00000050165', 'ENSG00000115461', 'ENSG00000188783', 'ENSG00000149591', 'ENSG00000000971', 'ENSG00000011465', 'ENSG00000115414', 'ENSG00000198467', 'ENSG00000134294']",0.2369280669229178
