clusterName,NSForest_markers,f_score
EC venous systemic,"['ENSG00000130300', 'ENSG00000164035']",0.6298502075437646
Migratory DCs,['ENSG00000102962'],0.501432664756447
Plasma cells,['ENSG00000132465'],0.905737183564432
Plasmacytoid DCs,"['ENSG00000239961', 'ENSG00000132465']",0.7901554404145078
B cells,"['ENSG00000156738', 'ENSG00000105369']",0.8570866915667388
NK cells,"['ENSG00000150045', 'ENSG00000180644']",0.7891496323400063
CD8 T cells,"['ENSG00000271503', 'ENSG00000167286']",0.758457155529777
CD4 T cells,"['ENSG00000227507', 'ENSG00000167286']",0.5941352882372543
T cells proliferating,"['ENSG00000160654', 'ENSG00000148773', 'ENSG00000166803', 'ENSG00000167286']",0.7258064516129032
Hematopoietic stem cells,"['ENSG00000170891', 'ENSG00000226777']",0.6648936170212766
Mast cells,['ENSG00000172236'],0.964171853651131
AT2 proliferating,"['ENSG00000198901', 'ENSG00000131400', 'ENSG00000131747']",0.7047477744807121
Goblet (subsegmental),"['ENSG00000117983', 'ENSG00000149021']",0.5808690404345203
Goblet (bronchial),"['ENSG00000197943', 'ENSG00000174501']",0.5608308605341247
Goblet (nasal),"['ENSG00000197353', 'ENSG00000215182']",0.8105015982928689
Club (nasal),"['ENSG00000115112', 'ENSG00000167653']",0.4388717568435236
SMG duct,"['ENSG00000156689', 'ENSG00000187908']",0.454786528772209
Club (non-nasal),"['ENSG00000197446', 'ENSG00000149021']",0.6823263206098645
Multiciliated (nasal),"['ENSG00000007933', 'ENSG00000227877', 'ENSG00000126861']",0.5888614493740952
Multiciliated (non-nasal),"['ENSG00000179902', 'ENSG00000166959']",0.8611768347964531
Deuterosomal,"['ENSG00000164287', 'ENSG00000148019']",0.7070707070707071
Myofibroblasts,"['ENSG00000106819', 'ENSG00000050165', 'ENSG00000114200']",0.4752994011976048
SM activated stress response,"['ENSG00000111404', 'ENSG00000187479', 'ENSG00000119508']",0.6008771929824561
Smooth muscle FAM83D+,['ENSG00000163017'],0.773286467486819
Smooth muscle,"['ENSG00000107796', 'ENSG00000149591']",0.69098768666492
Pericytes,"['ENSG00000131097', 'ENSG00000171303']",0.842040273556231
Lymphatic EC differentiating,"['ENSG00000153993', 'ENSG00000160145']",0.4211663066954643
EC general capillary,"['ENSG00000142748', 'ENSG00000167434']",0.781395265679754
EC aerocyte capillary,['ENSG00000136160'],0.8346962443129442
EC arterial,['ENSG00000155011'],0.7092710715288643
EC venous pulmonary,"['ENSG00000213088', 'ENSG00000101955']",0.7358505756380324
Alveolar Mph MT-positive,"['ENSG00000100292', 'ENSG00000164120']",0.4091084523350058
Alveolar Mph CCL3+,"['ENSG00000050730', 'ENSG00000163735']",0.6722647567300568
Alveolar macrophages,"['ENSG00000183019', 'ENSG00000170323']",0.8088830945268594
Alveolar Mph proliferating,"['ENSG00000166803', 'ENSG00000100526', 'ENSG00000171848', 'ENSG00000148773', 'ENSG00000175063']",0.3259911894273127
Classical monocytes,"['ENSG00000163221', 'ENSG00000085265']",0.7743712040627252
Non-classical monocytes,"['ENSG00000131042', 'ENSG00000104972']",0.4608499463697895
Interstitial Mph perivascular,"['ENSG00000124491', 'ENSG00000010327', 'ENSG00000072694']",0.4635482511588706
Monocyte-derived Mph,"['ENSG00000166920', 'ENSG00000129226']",0.3680835673836971
DC2,"['ENSG00000132514', 'ENSG00000196735']",0.5326889096767488
DC1,"['ENSG00000197992', 'ENSG00000163687']",0.7704160246533128
Hillock-like,"['ENSG00000186847', 'ENSG00000171401']",0.5739612567595318
Suprabasal,"['ENSG00000171346', 'ENSG00000206073', 'ENSG00000186081']",0.6462207419742807
Tuft,"['ENSG00000137709', 'ENSG00000110944', 'ENSG00000118513']",0.5643044619422573
Basal resting,"['ENSG00000171346', 'ENSG00000128422']",0.7580677792014442
SMG serous (bronchial),"['ENSG00000111215', 'ENSG00000184530']",0.7529018921927174
SMG serous (nasal),['ENSG00000126549'],0.9196224256292906
SMG mucous,['ENSG00000078898'],0.9347408829174664
pre-TB secretory,"['ENSG00000149021', 'ENSG00000168878']",0.7314008532522939
AT0,"['ENSG00000025423', 'ENSG00000229807', 'ENSG00000164265']",0.2763728323699422
AT2,"['ENSG00000122852', 'ENSG00000185303']",0.9586183739710556
Neuroendocrine,"['ENSG00000134443', 'ENSG00000100604']",0.9370424597364568
Ionocyte,"['ENSG00000176009', 'ENSG00000162399']",0.8174316658071171
AT1,['ENSG00000204305'],0.8511396952008663
Lymphatic EC mature,['ENSG00000137077'],0.8831029734278574
Lymphatic EC proliferating,"['ENSG00000117724', 'ENSG00000137077']",0.7291666666666666
Mesothelium,"['ENSG00000172137', 'ENSG00000116690']",0.8872901678657075
Subpleural fibroblasts,"['ENSG00000184937', 'ENSG00000198759']",0.6632653061224489
Adventitial fibroblasts,"['ENSG00000168079', 'ENSG00000174807']",0.8492255821304394
Peribronchial fibroblasts,"['ENSG00000143196', 'ENSG00000189058']",0.5803331542181622
Alveolar fibroblasts,"['ENSG00000147257', 'ENSG00000118526']",0.6899557462786643
