,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
ENSG00000100911,0.8287450790405273,0.8,0.0,0.0,0.0,0.0
ENSG00000172183,0.8,0.0,0.0,0.9246690511703491,0.0,0.0
ENSG00000143933,0.2623519659042358,0.2797157406806946,0.23530784845352173,0.2,0.22963693141937255,0.0
ENSG00000116560,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000150459,0.8,0.8200222849845886,0.0,0.0,0.0,0.0
ENSG00000171476,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000105701,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000137818,0.02180370092391968,0.0,0.015820848941802978,0.029458487033843996,0.002904665470123291,0.008554983139038085
ENSG00000111229,0.4268957734107971,0.5018139600753784,0.0,0.4,0.4448090076446533,0.0
ENSG00000154723,0.8,0.8160459876060486,0.0,0.0,0.0,0.0
ENSG00000092199,0.8240965127944946,0.8,0.0,0.0,0.0,0.0
ENSG00000180879,0.4562164068222046,0.5337123036384582,0.0,0.4,0.4335209488868713,0.0
ENSG00000125347,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000025708,0.8,0.8487944841384888,0.0,0.0,0.0,0.0
ENSG00000173660,0.807218587398529,0.8,0.0,0.0,0.0,0.0
ENSG00000122862,0.3745739579200745,0.44430636167526244,0.22931970357894899,0.2,0.2624699711799622,0.0
ENSG00000125870,0.8316941261291504,0.8,0.0,0.0,0.0,0.0
ENSG00000164587,0.01601775884628296,0.0,0.03235018253326416,0.0659860610961914,0.014940547943115234,0.0482213020324707
ENSG00000225067,0.6,0.0,0.6898140430450439,0.6539095759391784,0.0,0.0
ENSG00000130255,0.05468995571136474,0.0,0.04707151651382446,0.06886646747589112,0.001530921459197998,0.04381113052368164
ENSG00000115165,0.8,0.8344101309776306,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000169627,0.8,0.8152771472930909,0.0,0.0,0.0,0.0
ENSG00000080824,0.8201476812362671,0.8,0.0,0.0,0.0,0.0
ENSG00000120742,0.690992558002472,0.6800996780395507,0.0,0.6,0.0,0.0
ENSG00000155368,0.8,0.8196598052978515,0.0,0.0,0.0,0.0
ENSG00000163041,0.10338590145111085,0.09485245943069458,0.0,0.026621007919311525,0.07095866203308106,0.005657947063446045
ENSG00000189343,0.8,0.0,0.8666074872016907,0.0,0.0,0.0
ENSG00000104529,0.0171566367149353,0.0,0.03966798782348633,0.16921967267990112,0.037881743907928464,0.07671998739242554
ENSG00000121966,0.0,0.0,0.0,0.8,0.8217077016830444,0.0
ENSG00000198668,0.2315173864364624,0.30256197452545164,0.2,0.21234688758850098,0.2629431486129761,0.0
ENSG00000247774,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174748,0.027157688140869142,0.0,0.060401427745819095,0.045330142974853514,0.0033220887184143067,0.026133716106414795
ENSG00000137876,0.6182683944702149,0.6259020566940308,0.6,0.0,0.0,0.0
ENSG00000158710,0.8,0.809902012348175,0.0,0.0,0.0,0.0
ENSG00000135940,0.6351402759552002,0.6726244449615478,0.0,0.0,0.6,0.0
ENSG00000188243,0.2,0.20654058456420898,0.3340248346328735,0.29043850898742674,0.27346842288970946,0.0
ENSG00000096384,0.680868136882782,0.6425459861755372,0.6,0.0,0.0,0.0
ENSG00000146386,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204592,0.11893775463104247,0.0573600172996521,0.04352952241897583,0.029367661476135253,0.03498053550720215,0.0
ENSG00000136238,0.8,0.8242103219032287,0.0,0.0,0.0,0.0
ENSG00000188612,0.15785917043685913,0.12708890438079834,0.032987022399902345,0.05075469017028809,0.10674049854278564,0.0
ENSG00000185338,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168653,0.8,0.8033977150917053,0.0,0.0,0.0,0.0
ENSG00000124172,0.100369131565094,0.1270107865333557,0.0054389357566833494,0.00891793966293335,0.06476984024047852,0.0
ENSG00000108107,0.0294389009475708,0.0008420109748840332,0.009607172012329102,0.03756735324859619,0.0,0.030425000190734863
ENSG00000162368,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110955,0.808216655254364,0.8,0.0,0.0,0.0,0.0
ENSG00000161547,0.8274342894554139,0.8,0.0,0.0,0.0,0.0
ENSG00000154518,0.8,0.8143151998519897,0.0,0.0,0.0,0.0
ENSG00000125743,0.27463780641555785,0.28740633726119996,0.2,0.2021057724952698,0.22895206212997438,0.0
ENSG00000127540,0.07613096237182618,0.13526644706726074,0.022377431392669678,0.02168353796005249,0.12341184616088867,0.0
ENSG00000170889,0.05232845544815064,0.0,0.05367602109909057,0.05950530767440796,0.0035020947456359864,0.03659290075302124
ENSG00000139343,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145592,0.07826852798461914,0.0,0.025914275646209718,0.07215265035629273,0.00011688470840454102,0.04253339767456055
ENSG00000110321,0.8339991927146911,0.8,0.0,0.0,0.0,0.0
ENSG00000088205,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134419,0.031458818912506105,0.0,0.06645733118057251,0.07541999816894532,0.014679288864135743,0.06270753145217896
ENSG00000147677,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000237550,0.07882671356201172,0.0,0.14371991157531738,0.10332523584365845,0.004757297039031982,0.08199175596237182
ENSG00000074800,0.40835692882537844,0.41480077505111695,0.26445218324661257,0.2,0.21454662084579468,0.0
ENSG00000198931,0.5129109859466553,0.47345585823059083,0.4297361373901367,0.4,0.0,0.0
ENSG00000141522,0.8,0.828126323223114,0.0,0.0,0.0,0.0
ENSG00000198712,0.0020418524742126464,0.0647234559059143,0.0,0.026492822170257568,0.129700767993927,0.05504277944564819
ENSG00000070831,0.6283519744873047,0.6692479491233826,0.0,0.0,0.6,0.0
ENSG00000164096,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000126756,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116824,0.44572632312774657,0.5046309471130371,0.0,0.4,0.497773265838623,0.0
ENSG00000213719,0.6,0.7122742652893066,0.0,0.0,0.6034115314483642,0.0
ENSG00000115738,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000140264,0.01614644527435303,0.07290807962417603,0.00020543336868286132,0.0,0.10475646257400513,0.0066680431365966795
ENSG00000126264,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000233913,0.8,0.0,0.0,0.8680015683174134,0.0,0.0
ENSG00000105372,0.018979907035827637,0.0,0.0640110731124878,0.043694281578063966,0.010026812553405762,0.02288193702697754
ENSG00000163191,0.21943466663360595,0.3563939809799194,0.0,0.2581855297088623,0.3685376763343811,0.2
ENSG00000213741,0.02249464988708496,0.0,0.039304566383361814,0.03621431589126587,0.007023668289184571,0.0357660174369812
ENSG00000108298,0.03826284408569336,0.0,0.04395747184753418,0.0580483078956604,0.003952300548553467,0.036317074298858644
ENSG00000103275,0.8449753642082214,0.8,0.0,0.0,0.0,0.0
ENSG00000116251,0.07822821140289307,0.00672835111618042,0.085006844997406,0.09324153661727905,0.0,0.047599267959594724
ENSG00000243449,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000089009,0.07411026954650879,0.0051587939262390135,0.0488776683807373,0.0508112907409668,0.0,0.03297942876815796
ENSG00000138495,0.8,0.8308558344841004,0.0,0.0,0.0,0.0
ENSG00000105404,0.0,0.8,0.0,0.0,0.8321299314498901,0.0
ENSG00000206503,0.029156768321990968,0.10401996374130248,0.02453209161758423,0.006672918796539307,0.07304115295410156,0.0
ENSG00000110958,0.8085094571113587,0.8,0.0,0.0,0.0,0.0
ENSG00000196154,0.0,0.4,0.0,0.5536617040634155,0.643277359008789,0.4233023881912231
ENSG00000111669,0.5445340514183045,0.5584524154663086,0.0,0.4,0.4571371555328369,0.0
ENSG00000198840,0.0,0.07958967685699463,0.008112156391143798,0.03530452251434326,0.15601513385772706,0.07303202152252197
ENSG00000116288,0.8,0.8244506359100342,0.0,0.0,0.0,0.0
ENSG00000177954,0.0143310546875,0.0,0.05303575992584229,0.05220365524291992,0.015075254440307616,0.04414651393890381
ENSG00000113387,0.3582972288131714,0.36338903903961184,0.2829596519470215,0.2,0.2193433403968811,0.0
ENSG00000224631,0.8,0.0,0.0,0.8204108357429505,0.0,0.0
ENSG00000154582,0.8572370886802674,0.8,0.0,0.0,0.0,0.0
ENSG00000198804,0.0,0.07846449613571167,0.0004977703094482422,0.017936432361602785,0.12956987619400023,0.04453741312026978
ENSG00000232112,0.04484473466873169,0.0760118007659912,0.0,0.005244195461273193,0.057737100124359134,0.012178325653076172
ENSG00000101608,0.0,0.13840256929397582,0.03706411123275757,0.06291598081588745,0.13983241319656373,0.009551918506622315
ENSG00000131174,0.8,0.8297569155693054,0.0,0.0,0.0,0.0
ENSG00000168685,0.0,0.0,0.0,0.8347408056259156,0.8,0.0
ENSG00000133872,0.0,0.005023062229156494,0.08112552165985107,0.26881866455078124,0.1467984437942505,0.2158738613128662
ENSG00000147604,0.05224056243896484,0.0,0.0796995997428894,0.07371091842651367,0.004098951816558838,0.034362637996673585
ENSG00000130429,0.44976181983947755,0.5000617980957032,0.0,0.4,0.4198673367500305,0.0
ENSG00000172531,0.8,0.8522860527038574,0.0,0.0,0.0,0.0
ENSG00000218175,0.03250519037246704,0.0,0.016081321239471435,0.11964672803878784,0.011275970935821533,0.025272893905639648
ENSG00000139644,0.6671590685844422,0.7362416505813598,0.0,0.0,0.6,0.0
ENSG00000122026,0.02785537242889404,0.0,0.0762380838394165,0.05560402870178223,0.010325193405151367,0.05467414855957031
ENSG00000034510,0.09514302015304565,0.04591060876846313,0.012186741828918457,0.025599920749664308,0.003355860710144043,0.0
ENSG00000186395,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075415,0.8078729033470153,0.8,0.0,0.0,0.0,0.0
ENSG00000152518,0.0,0.0,0.0,0.8049777269363403,0.8,0.0
ENSG00000198034,0.025740230083465578,0.0,0.07141014337539672,0.08200711011886597,0.016461265087127686,0.0362764835357666
ENSG00000174886,0.8,0.8261735916137696,0.0,0.0,0.0,0.0
ENSG00000156508,0.04394252300262451,0.0,0.057287847995758055,0.06006876230239868,0.004401266574859619,0.031023848056793212
ENSG00000100097,0.0,0.8,0.0,0.0,0.8109765648841858,0.0
ENSG00000164919,0.38734259605407717,0.4318073630332947,0.2,0.2945467233657837,0.34140782356262206,0.0
ENSG00000228007,0.06775343418121338,0.0,0.10980355739593506,0.0823601245880127,0.0013080239295959473,0.06981323957443238
ENSG00000069493,0.6228830695152283,0.6,0.0,0.0,0.7306627631187439,0.0
ENSG00000229344,0.0,0.8,0.0,0.0,0.9106715679168701,0.0
ENSG00000145741,0.09804676771163941,0.023305559158325197,0.012767350673675537,0.0753364086151123,0.0,0.005098772048950195
ENSG00000119335,0.6112356901168823,0.6,0.6214580059051513,0.0,0.0,0.0
ENSG00000122406,0.09690537452697753,0.01037440299987793,0.06609122753143311,0.0606135368347168,0.0,0.034898459911346436
ENSG00000111832,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143543,0.8,0.8252127647399903,0.0,0.0,0.0,0.0
ENSG00000233927,0.025686097145080567,0.0,0.04368518590927124,0.06578606367111206,0.015003609657287597,0.050409555435180664
ENSG00000177410,0.6,0.0,0.640283465385437,0.6450594782829284,0.0,0.0
ENSG00000271503,0.0,0.8,0.0,0.0,0.8542533278465271,0.0
ENSG00000173762,0.323926043510437,0.46638988256454467,0.2615885972976685,0.2,0.23763668537139893,0.0
ENSG00000084207,0.8,0.8280171275138855,0.0,0.0,0.0,0.0
ENSG00000111786,0.8161202430725097,0.8,0.0,0.0,0.0,0.0
ENSG00000227615,0.2647389888763428,0.2,0.22997723817825316,0.3501763820648193,0.23057477474212645,0.0
ENSG00000177600,0.01665304899215698,0.0,0.018303108215332032,0.04815661907196045,0.009627223014831543,0.0585250973701477
ENSG00000161016,0.04485465288162231,0.0051657319068908695,0.03823081254959106,0.06657310724258422,0.0,0.03184331655502319
ENSG00000131508,0.8371703505516053,0.8,0.0,0.0,0.0,0.0
ENSG00000104904,0.10623483657836914,0.14716545343399048,0.0,0.0009860992431640625,0.0627406120300293,0.02909679412841797
ENSG00000138326,0.09565187692642212,0.013568854331970215,0.015440940856933594,0.013239014148712158,0.001985025405883789,0.0
ENSG00000169020,0.43136743307113645,0.49668967723846436,0.0,0.4,0.4534222364425659,0.0
ENSG00000239713,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000095794,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000086598,0.8,0.8692761659622192,0.0,0.0,0.0,0.0
