cluster,n_cells,percentage
Adventitial Fibroblast,158,1.83
Airway Smooth Muscle,346,4.0
Alveolar Epithelial Type 1,421,4.87
Alveolar Epithelial Type 2,760,8.78
Alveolar Fibroblast,360,4.16
Artery,92,1.06
B,16,0.18
Basal,240,2.77
Basophil/Mast 1,46,0.53
Bronchial Vessel 1,106,1.23
CD4+ Memory/Effector T,13,0.15
CD4+ Naive T,19,0.22
CD8+ Naive T,280,3.24
Capillary,872,10.08
Capillary Aerocyte,622,7.19
Capillary Intermediate 1,88,1.02
Ciliated,551,6.37
Classical Monocyte,17,0.2
Club,898,10.38
Dendritic,10,0.12
Differentiating Basal,43,0.5
Fibromyocyte,15,0.17
Goblet,233,2.69
IGSF21+ Dendritic,8,0.09
Intermediate Monocyte,6,0.07
Lipofibroblast,20,0.23
Lymphatic,44,0.51
Macrophage,32,0.37
Myeloid Dendritic Type 2,7,0.08
Myofibroblast,52,0.6
Natural Killer,1095,12.65
Natural Killer T,52,0.6
Neuroendocrine,55,0.64
Neutrophil,102,1.18
Nonclassical Monocyte,11,0.13
Pericyte,518,5.99
Plasmacytoid Dendritic,9,0.1
Proliferating NK/T,17,0.2
Signaling Alveolar Epithelial Type 2,201,2.32
Vascular Smooth Muscle,176,2.03
Vein,42,0.49
