cluster,count
alveolar macrophage,7620
type II pneumocyte,7226
fibroblast,7073
type I pneumocyte,3618
T cell,3100
monocyte,2645
unknown,2206
endothelial cell,1880
club cell,1291
macrophage,1148
natural killer cell,1071
B cell,1034
lymphatics,887
pericyte cell,803
AT1/AT2-like,794
ciliated cell,666
myofibroblast cell,558
smooth muscle cell,449
AT2/Club-like,425
chondrocyte,394
goblet cell,235
basal cell,204
dendritic cell,203
enucleate erythrocyte,202
vascular associated smooth muscle cell,199
endothelial cell of artery,180
vein endothelial cell,157
mast cell,129
lung neuroendocrine cell,68
blood vessel endothelial cell,35
