clusterName,gene
vein endothelial cell,ENSG00000144837
vein endothelial cell,ENSG00000203727
blood vessel endothelial cell,ENSG00000204291
blood vessel endothelial cell,ENSG00000104689
endothelial cell,ENSG00000165810
endothelial cell,ENSG00000117114
pericyte cell,ENSG00000185736
vascular associated smooth muscle cell,ENSG00000140538
vascular associated smooth muscle cell,ENSG00000107796
smooth muscle cell,ENSG00000141052
smooth muscle cell,ENSG00000172403
myofibroblast cell,ENSG00000154127
fibroblast,ENSG00000165124
fibroblast,ENSG00000196616
mast cell,ENSG00000157404
mast cell,ENSG00000185052
enucleate erythrocyte,ENSG00000138670
enucleate erythrocyte,ENSG00000167996
enucleate erythrocyte,ENSG00000156273
chondrocyte,ENSG00000164692
chondrocyte,ENSG00000168542
chondrocyte,ENSG00000196569
chondrocyte,ENSG00000122852
ciliated cell,ENSG00000174844
ciliated cell,ENSG00000160401
natural killer cell,ENSG00000134539
natural killer cell,ENSG00000136250
T cell,ENSG00000172673
B cell,ENSG00000116191
dendritic cell,ENSG00000128815
monocyte,ENSG00000170873
monocyte,ENSG00000136250
macrophage,ENSG00000124491
macrophage,ENSG00000010327
alveolar macrophage,ENSG00000144681
alveolar macrophage,ENSG00000160179
type I pneumocyte,ENSG00000053747
type I pneumocyte,ENSG00000114790
unknown,ENSG00000153395
unknown,ENSG00000144218
unknown,ENSG00000068650
type II pneumocyte,ENSG00000078081
type II pneumocyte,ENSG00000122420
AT2/Club-like,ENSG00000025423
AT2/Club-like,ENSG00000146477
AT2/Club-like,ENSG00000115896
AT1/AT2-like,ENSG00000138593
AT1/AT2-like,ENSG00000236039
goblet cell,ENSG00000125999
goblet cell,ENSG00000197446
club cell,ENSG00000047457
club cell,ENSG00000167757
basal cell,ENSG00000164171
basal cell,ENSG00000064655
basal cell,ENSG00000011201
lymphatics,ENSG00000205038
endothelial cell of artery,ENSG00000155011
