clusterName,NSForest_markers,f_score,onTarget,precision,recall
b_age,"['ENSG00000012124', 'ENSG00000143297', 'ENSG00000072694']",0.6043956043956044,0.7379307746887207,0.6875,0.4074074074074074
b_memory,"['ENSG00000153064', 'ENSG00000240505']",0.7070240295748613,0.3241460919380188,0.8968347010550997,0.3828828828828828
b_naive,"['ENSG00000211898', 'ENSG00000247982']",0.6871689228958211,0.8127206563949585,0.8745318352059925,0.3700475435816164
cd4_temra,"['ENSG00000139187', 'ENSG00000137441', 'ENSG00000100450', 'ENSG00000013725']",0.2543842744266718,0.3412918448448181,0.2647943831494483,0.2198168193172356
cd4_tem,"['ENSG00000215788', 'ENSG00000163599', 'ENSG00000186187']",0.4483527865195394,0.4845678806304931,0.5136923779096303,0.2971617161716172
cd4_treg,['ENSG00000049768'],0.8897730621868553,1.0,0.916793197692074,0.7959398892697074
cd8_cm,"['ENSG00000137642', 'ENSG00000107485', 'ENSG00000172116', 'ENSG00000141232']",0.160183066361556,0.431351363658905,0.28,0.0590717299578059
cd4_cm,"['ENSG00000163600', 'ENSG00000126353']",0.4413168929297961,0.2018700391054153,0.5094656122693506,0.2874915483434753
cd4_naive,"['ENSG00000182463', 'ENSG00000237943', 'ENSG00000182568']",0.4515022860875245,0.4404468238353729,0.5464426877470355,0.2663776493256262
cd8_naive,"['ENSG00000256039', 'ENSG00000138795', 'ENSG00000126353', 'ENSG00000172116']",0.7429857984066505,0.3431375026702881,0.9069767441860463,0.4311557788944724
ilc3,"['ENSG00000186891', 'ENSG00000111796', 'ENSG00000109321']",0.2317073170731707,0.1539645940065384,0.5277777777777778,0.0714285714285714
mast_cell,"['ENSG00000172236', 'ENSG00000163751']",0.9917835826680104,1.0,0.9964953271028038,0.9733739064282996
plasma_cell,"['ENSG00000061656', 'ENSG00000211895']",0.5837173579109063,0.7844675779342651,0.8,0.2804428044280442
nk_cd56br,"['ENSG00000134545', 'ENSG00000113088']",0.5779959042440506,0.7717828750610352,0.6563753007217321,0.3911589008363202
ilc1,['ENSG00000145649'],0.1724137931034483,0.1285067200660705,0.8333333333333334,0.0413223140495867
nk_ilc_precursor,"['ENSG00000143184', 'ENSG00000143185', 'ENSG00000115523', 'ENSG00000134539']",0.3073336159389572,0.292048841714859,0.2900966988996332,0.4031510658016682
nk_cd56dim,"['ENSG00000137441', 'ENSG00000115523', 'ENSG00000180644']",0.8549695740365112,0.2435432225465774,0.9121182976677086,0.683636691295729
cd8_mait,"['ENSG00000144290', 'ENSG00000204475']",0.4975952645209027,1.0,0.5592515592515592,0.3453145057766367
cd8_trm,"['ENSG00000153563', 'ENSG00000153283', 'ENSG00000271503', 'ENSG00000116824']",0.356457242582897,0.1292088776826858,0.3914710110206037,0.2625321336760925
cd4_trm,"['ENSG00000168214', 'ENSG00000153283']",0.3050239234449761,0.2084772884845733,0.4587080948487326,0.1303438661710037
cd3_gd,"['ENSG00000211751', 'ENSG00000100450', 'ENSG00000105374', 'ENSG00000172543']",0.067115947632989,0.1473995447158813,0.0554499125275728,0.4235909355026148
cd8_temra,"['ENSG00000100450', 'ENSG00000172116', 'ENSG00000153563', 'ENSG00000134539']",0.4992435703479576,0.1821719110012054,0.5564588979223125,0.3537519142419602
cd8_tem,"['ENSG00000100450', 'ENSG00000172116', 'ENSG00000153563', 'ENSG00000145649']",0.3349964362081254,0.2009702026844024,0.3248847926267281,0.3826322930800542
plasmablast,"['ENSG00000258572', 'ENSG00000048462']",0.8378088077336198,0.8478589057922363,0.8634686346863468,0.7488
b_gc,"['ENSG00000211666', 'ENSG00000132185']",0.3947368421052631,0.7306141257286072,0.75,0.1363636363636363
pdc,"['ENSG00000105251', 'ENSG00000184709']",0.8834134615384616,1.0,0.9735099337748344,0.6447368421052632
progenitor,"['ENSG00000185198', 'ENSG00000166681']",0.5598755832037325,1.0,0.9473684210526316,0.2123893805309734
macrophage,['ENSG00000136235'],0.9426454647822108,1.0,0.98413483195447,0.806622421136996
monocyte_nonclassical,"['ENSG00000183779', 'ENSG00000187116']",0.6761848936526546,0.8354724645614624,0.8748645720476707,0.3543220710838087
monocyte_classical,"['ENSG00000163221', 'ENSG00000163220']",0.891064323170571,0.796789824962616,0.93715790203007,0.7445777826709237
dc2,"['ENSG00000135549', 'ENSG00000166428']",0.6006449879064768,0.5981189012527466,0.7106518282988871,0.370954356846473
dc1,"['ENSG00000197992', 'ENSG00000182985']",0.8856682769726248,1.0,0.9322033898305084,0.738255033557047
dc_migratory,"['ENSG00000078081', 'ENSG00000159166']",0.8246225319396051,1.0,0.8875,0.6425339366515838
