,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,dc_migratory,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
ENSG00000188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240047,0.0
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34509063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941201,0.0,0.35714993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17869778,0.0,0.0,0.0,0.0,0.14672965,0.0,0.0,0.34452718,0.0,0.0,0.0,0.0,0.0,0.06955077,0.0
ENSG00000186891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28672042,0.5758914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49923038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34093094,0.0,0.44187093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25277424,0.19560133,0.0,0.0,0.29738483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688445,0.45211014,0.094087996
ENSG00000160087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20421277,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18869735,0.0
ENSG00000175756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40737236,0.0,0.4790941,0.0,0.4031328,0.0,0.0,0.0,0.0,0.0,0.2619042,0.3622157,0.3216772,0.0,0.0,0.4616923,0.0,0.32097557,0.42699814,0.0,0.0,0.0,0.419793,0.2854341,0.90518224,0.3090622
ENSG00000221978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08316125,0.0
ENSG00000242485,0.0,0.6376546,0.0,0.0,0.0,0.0,0.0,0.25717777,0.0,0.2738848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22836447,0.28478426,0.2994355,0.0,0.0,0.35225552,0.0,0.0,0.28363973,0.0,0.0,0.0,0.35340726,0.12661019,0.57144994,0.23652393
ENSG00000160072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12676099,0.0
ENSG00000197785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18593714,0.0
ENSG00000160075,0.35255745,0.467932,0.0,0.0,0.0,0.39190477,0.44480348,0.35939756,0.0,0.4390247,0.0,0.40723744,0.0,0.44287598,0.0,0.0,0.0,0.31393397,0.3909154,0.2780149,0.0,0.0,0.39026478,0.0,0.0,0.40061212,0.0,0.0,0.0,0.31669095,0.12153497,0.40659115,0.31215104
ENSG00000248333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14152662,0.0
ENSG00000008128,0.35255745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008130,0.0,0.2449984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39452395,0.0,0.13429193,0.0
ENSG00000078369,0.56455845,0.583233,0.0,0.0,0.0,0.43093196,0.0,0.53448105,0.0,0.5421954,0.0,0.48375595,0.0,0.0,0.0,0.0,0.0,0.50747955,0.5831618,0.5829935,0.0,0.0,0.58027256,0.0,0.5943635,0.5813369,0.0,0.0,0.0,0.62496734,0.0,0.49620026,0.46740168
ENSG00000162585,0.40752086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26170516,0.30947977,0.4064299,0.0,0.0,0.16860975,0.0,0.0,0.26523292,0.0,0.0,0.0,0.34870556,0.0,0.15589756,0.20859465
ENSG00000157916,0.0,0.27155876,0.0,0.0,0.0,0.0,0.0,0.26312163,0.0,0.2050215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23570186,0.2811766,0.22428024,0.0,0.0,0.32649535,0.0,0.0,0.29322135,0.0,0.0,0.0,0.31513405,0.14308603,0.4516054,0.0
