cell_type,mean_silhouette,std_silhouette,median_silhouette,count
T cell,0.7079428326779603,0.28493973807243117,0.7721346327235401,214
professional antigen presenting cell,0.8770601277789674,0.043832667552051535,0.8961639545780027,84
glandular secretory epithelial cell,0.00862919528928761,0.2685067668534203,0.041704739635230914,5310
club cell,0.5416773012209918,0.19736886994618102,0.6022205579936714,2000
keratinizing barrier epithelial cell,0.6878074873321829,0.13106026765223272,0.707473865038935,820
keratinocyte,0.9309333598557655,0.01870761702213145,0.9362554924454944,77
respiratory tract epithelial cell,-0.4017354762869082,0.1788964317950863,-0.3811770489635822,13707
nasal mucosa goblet cell,0.5934418475016512,0.1915521505156416,0.6624405734048271,2814
respiratory basal cell,0.3697847159665093,0.25750334400995795,0.4613610069930304,5004
ionocyte,0.7190305353551862,0.15585088637679623,0.7810834364854885,341
respiratory tract multiciliated cell,0.6784272925771365,0.27817404554102054,0.7579938398747892,4462
