clusterName,gene
nasal mucosa goblet cell,ENSG00000167757
nasal mucosa goblet cell,ENSG00000160182
respiratory tract multiciliated cell,ENSG00000124237
respiratory tract multiciliated cell,ENSG00000164972
ionocyte,ENSG00000176009
ionocyte,ENSG00000035720
T cell,ENSG00000271503
professional antigen presenting cell,ENSG00000011600
professional antigen presenting cell,ENSG00000223865
respiratory basal cell,ENSG00000186081
keratinizing barrier epithelial cell,ENSG00000163209
keratinizing barrier epithelial cell,ENSG00000175315
glandular secretory epithelial cell,ENSG00000140274
glandular secretory epithelial cell,ENSG00000140279
club cell,ENSG00000164120
club cell,ENSG00000197838
club cell,ENSG00000103316
club cell,ENSG00000127528
respiratory tract epithelial cell,ENSG00000162174
