author_cell_type_final,mean_silhouette,std_silhouette,median_silhouette,count
Basal II cells,0.47979139165608825,0.3172744812291889,0.603633204166543,187
Basal cells,0.5556786356875585,0.15657367886184043,0.5961915253133241,334
Ciliated cells,0.9489031385901857,0.009374218038494538,0.9512975077877032,88
Club cells,0.6139139420025012,0.16815238651981967,0.6723878916439509,135
Dendritic cells,0.8462719005592189,0.047420314011610565,0.8774811281666429,41
Goblet cells,0.28730281195716323,0.19972107015057808,0.31729952431133795,195
Ionocytes,0.9815561188511356,0.003329277544395941,0.9823356219534503,41
MT gene enriched cells,-0.23935919505872555,0.30169484734389646,-0.10277509302330595,102
Mast cells,0.9410183696046616,0.010995020827692987,0.943555351546237,53
Maturing ciliated cells,0.8850373992217204,0.0654241919207543,0.9107384606592457,20
NK cells,0.5513595088434616,0.31916401439200637,0.6742749948307968,53
Neutrophils & macrophages,0.8133364870770541,0.15061422177348513,0.842238860011018,142
Peri-goblet cells,0.32270221780518954,0.35171823658970164,0.47133966604850375,238
Secretory cells (HLA-DQA1),0.572350445813394,0.20955541318131668,0.6527428303617551,133
Suprabasal cells,0.6397416647990453,0.37479916236571514,0.7603378559031664,68
T cells,0.5577857065650645,0.21841519116621738,0.6677119633199374,245
