clusterName,gene
B mem exhausted,ENSG00000132185
B mem exhausted,ENSG00000211895
Basal 1,ENSG00000171346
Basal 1,ENSG00000187244
Basal 2,ENSG00000175183
Basal 2,ENSG00000205076
Cycling basal,ENSG00000175063
Cycling basal,ENSG00000137804
Cycling hillock,ENSG00000011426
Cycling hillock,ENSG00000171401
Hillock,ENSG00000205076
Hillock,ENSG00000205420
Ionocyte,ENSG00000184908
Ionocyte,ENSG00000069122
Deuterosomal,ENSG00000164287
Ciliated 1,ENSG00000164972
Ciliated 1,ENSG00000160345
Ciliated 2,ENSG00000197057
Ciliated 2,ENSG00000163491
Secretory,ENSG00000115112
Secretory,ENSG00000143416
Secretory,ENSG00000124102
Secretory,ENSG00000121552
Squamous,ENSG00000172382
Mono IL6+,ENSG00000085265
LC,ENSG00000158488
LC,ENSG00000110077
Mac,ENSG00000216490
Mac,ENSG00000066336
pDC,ENSG00000239961
Mast,ENSG00000172236
MAIT,ENSG00000256553
MAIT,ENSG00000027869
T CD8 mem 1,ENSG00000145649
T CD8 mem 2,ENSG00000189013
T CD8 mem 2,ENSG00000073861
T naive,ENSG00000008517
T naive,ENSG00000171223
B mem,ENSG00000158517
B mem,ENSG00000105369
Basal 1 KHDRBS2+,ENSG00000115414
Basal 1 KHDRBS2+,ENSG00000089057
Secretory GALNT4+,ENSG00000196220
Secretory GALNT4+,ENSG00000042980
Transit epi 1,ENSG00000280614
Transit epi 1,ENSG00000281181
Transit epi 1,ENSG00000161055
Transit epi 2,ENSG00000170345
Transit epi 2,ENSG00000105519
Duct,ENSG00000261857
Club,ENSG00000205364
Club,ENSG00000197766
Club,ENSG00000149021
Goblet 1,ENSG00000127324
Goblet 1,ENSG00000263639
Goblet 2 BPIFA2+,ENSG00000275395
Goblet 2 BPIFA2+,ENSG00000283992
Goblet 2 PLAU+,ENSG00000134339
Goblet 2 PLAU+,ENSG00000163209
Goblet 2 inflammatory,ENSG00000166825
Goblet 2 inflammatory,ENSG00000170477
Goblet 2 inflammatory,ENSG00000283992
Goblet 2 inflammatory,ENSG00000091986
Goblet 2 inflammatory,ENSG00000185201
