Cell_type_annotation_level3,mean,std,median,count,q1,q3,f_score
Ionocyte,0.8903589327065528,0.09793285456226607,0.9087195,351,0.8896419,0.917984245,0.9148618371919344
pDC,0.852296925625,0.07514393279548834,0.887798045,16,0.83452129,0.897065355,0.9166666666666666
Squamous,0.834305862,0.059193447104425964,0.8499564,55,0.8264561500000001,0.8722491299999999,0.7975460122699386
Mast,0.6966007861538461,0.20908805495373706,0.7732562,13,0.7063407,0.7947544,0.9649122807017544
Mono IL6+,0.4783203039999999,0.42826789247640773,0.691174575,34,0.5697001125,0.7109380625,0.860655737704918
Transit epi 2,0.6151600229081778,0.23611608834080536,0.6848348,3485,0.6263277,0.7160184,0.7662177625209049
Ciliated 2,0.36713886097094434,0.4749241755023594,0.6260479,413,0.42775592,0.65006024,0.7762359063313097
Basal 1,0.5243081493487648,0.1953147030704652,0.5919669,931,0.474523635,0.6522292199999999,0.8587052911616908
Basal 1 KHDRBS2+,0.4851971042394366,0.2225275752661351,0.56908906,71,0.38850647,0.650741315,0.4205607476635514
Cycling hillock,0.5285177938461538,0.11946055956877431,0.5465407,13,0.50805146,0.62229913,0.4761904761904761
Ciliated 1,0.39756865005578546,0.30574539026505254,0.5215048,1305,0.30076945,0.61396015,0.832258064516129
T naive,0.2788781306111111,0.4047273971454734,0.49766868,9,0.007629619,0.52992964,0.5882352941176471
Club,0.25776135608333334,0.35089626990209183,0.42591602,24,0.185087495,0.5020124,0.46875
Hillock,0.30588786619858155,0.26008649262868155,0.39581993,141,0.15543298,0.4990017,0.4154727793696275
LC,0.33999340539999995,0.17230847013030967,0.367817815,30,0.28682805499999997,0.4846673525,0.7926829268292683
T CD8 mem 2,0.273044652,0.22136651649756714,0.36389956,5,0.35355103,0.38323683,0.8823529411764706
Goblet 2 inflammatory,0.28020483133765955,0.2517330717540537,0.352357385,470,0.156627195,0.4837187925,0.3225806451612903
Basal 2,0.2393383150128228,0.29883513237223863,0.32961083999999996,3702,0.099756045,0.4761435625,0.5587138035174987
MAIT,0.20670668676315787,0.24868871393013733,0.30608265,38,0.087207005,0.3857651525,0.8208955223880597
B mem exhausted,0.23213916833333334,0.2750868220952468,0.30219357,18,0.09728047249999999,0.46455646500000003,0.7758620689655172
Duct,0.07914268183106797,0.26026425676762593,0.17217085,103,-0.076557105,0.295265885,0.4603174603174603
Secretory GALNT4+,0.03230430518199786,0.3836969239406033,0.13861401499999998,936,-0.26587159250000003,0.3629185225,0.4650635208711434
Goblet 2 PLAU+,0.03633490586728343,0.3132146648292782,0.1317948,1189,-0.17951716,0.300957,0.5335107669973385
Secretory,0.0628867804931761,0.29030668535530185,0.10832567,2527,-0.15188822000000002,0.31886222,0.354945219870929
Goblet 2 BPIFA2+,0.05796466671825236,0.28729124597520395,0.1051816,2395,-0.17926456000000002,0.30953823,0.6084058298497345
B mem,0.0850290566521739,0.2695775349264733,0.090676,23,-0.154220838,0.3225015,0.7142857142857143
Cycling basal,-0.13988827271193183,0.2579028348787188,-0.0522394685,176,-0.32358122,0.05860627,0.6828703703703703
Goblet 1,-0.2409032295279636,0.1573109387130205,-0.24965413,1758,-0.3479278,-0.1212399695,0.6557894736842105
T CD8 mem 1,-0.24974374318932038,0.19006312464011302,-0.29231936,103,-0.411658875,-0.097017005,0.7586206896551724
Deuterosomal,-0.4118745736170213,0.19677321158703,-0.38226762,141,-0.5780774,-0.24478759,0.8679927667269439
Mac,-0.21638213529411765,0.3046169859726088,-0.3894337,17,-0.44843614,0.09792901,0.6666666666666666
Transit epi 1,-0.420190971097561,0.20141009945535565,-0.41150101,164,-0.5934052,-0.26033314750000003,0.187007874015748
